subject,deck,topic,front,back
Ophthalmology,Part-1,Anatomy & Embryology,Which ocular structures derive from surface ectoderm?,"Lens; epithelium of cornea and conjunctiva; lacrimal gland."
Ophthalmology,Part-1,Anatomy & Embryology,Which ocular structures derive from neuro-ectoderm?,"Optic nerve; retina; iris and ciliary body epithelium; sphincter and dilator pupillae muscles."
Ophthalmology,Part-1,Anatomy & Embryology,Which ocular structures derive from neural crest cells?,"Corneal stroma and endothelium; sclera (except the superotemporal part); trabecular meshwork; iris and choroid stroma; melanocytes; ciliaris muscle."
Ophthalmology,Part-1,Anatomy & Embryology,Which ocular structure derives from all three germ layers?,Vitreous.
Ophthalmology,Part-1,Anatomy & Embryology,"From outside to inside, what are the layers overlying the sclera?","Conjunctiva → Tenon's capsule → Episclera → Lamina fusca → Sclera proper."
Ophthalmology,Part-1,Anatomy & Embryology,What local anesthetic agents are used for ocular blocks vs topical anesthesia?,"Lignocaine is used for injectable blocks; Proparacaine is used topically (onset within minutes, lasts 15-20 min)."
Ophthalmology,Part-1,Anatomy & Embryology,What is the name of the subtenon block?,"Nozik's block, given into the subtenon (episcleral) space."
Ophthalmology,Part-1,Anatomy & Embryology,Which anatomical space corresponds to a subconjunctival injection?,The subconjunctival space (beneath the conjunctiva).
Ophthalmology,Part-1,Anatomy & Embryology,"What space do retrobulbar and peribulbar blocks target respectively?","Retrobulbar block = intraconal space (within the extraocular muscle cone); Peribulbar block = extraconal space (outside the muscle cone)."
Ophthalmology,Part-1,Anatomy & Embryology,What is the normal axial length of the adult eye?,25 mm.
Ophthalmology,Part-1,Anatomy & Embryology,What is the normal anterior chamber (AC) depth?,2.5 mm.
Ophthalmology,Part-1,Anatomy & Embryology,What difference in refractive power between the two eyes defines anisometropia?,">2.5 D difference between the two eyes."
Ophthalmology,Part-1,Anatomy & Embryology,What is the refractive status of a newborn's eye?,"+2.5 D hypermetropic (physiological hypermetropia at birth, which reduces till infancy)."
Ophthalmology,Part-1,Anatomy & Embryology,"What is the total refractive power of the eye, and how much does the cornea contribute?","Total refractive power = 60 D; the cornea contributes the most, about 45 D."
Ophthalmology,Part-1,Anatomy & Embryology,How many Purkinje images are produced by the eye's optical surfaces?,"4 images, formed by the anterior and posterior surfaces of the cornea and lens."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,What type of epithelium lines the cornea?,Non-keratinized stratified squamous epithelium.
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,"Does Bowman's membrane regenerate after injury, and what results instead?","No, Bowman's membrane is acellular and does NOT regenerate; injury leads to permanent scar formation."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,"What collagen type and GAG compose the corneal stroma, and why is fiber arrangement important?","Type I collagen with keratan sulfate GAG; the parallel arrangement of collagen fibers is responsible for corneal transparency."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,Which corneal layer is considered the strongest?,Dua's layer (a deep stromal layer just above Descemet's membrane).
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,Does Descemet's membrane regenerate after injury?,"Yes, unlike Bowman's membrane, Descemet's membrane has regenerative capacity."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,"Which corneal layer is most metabolically active, and what pump maintains corneal transparency?","The endothelium; it uses the Na+/K+-ATPase pump to keep the cornea in a dehydrated, transparent state. Copper deposits in Descemet's membrane in Wilson's disease (KF ring)."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,"What is the normal endothelial cell count on specular microscopy, and what count causes bullous keratopathy?","Normal = 2500-3000 cells/mm³; bullous keratopathy occurs when count falls below 500 cells/mm³, due to fluid accumulation causing corneal opacification."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,Why does corneal transplantation not require HLA matching?,Because the cornea is avascular and thus enjoys immune privilege.
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,What are the afferent and efferent limbs of the corneal blink reflex?,"Afferent = CN V1 (ophthalmic division of trigeminal nerve); Efferent = CN VII (facial nerve), response is bilateral."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,What conditions/agents can cause reduced corneal sensation (corneal anesthesia)?,"HSV-1 keratitis, leprosy, diabetes mellitus, and topical beta-blockers."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,"What is interstitial keratitis, and what conditions cause it?","Non-ulcerative stromal corneal inflammation without epithelial/endothelial breakdown; caused by Cogan's syndrome (IK + sensorineural hearing loss), leprosy, tuberculosis, sarcoidosis, and congenital syphilis."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,What is Hutchinson's triad of congenital syphilis?,"Interstitial keratitis, sensorineural hearing loss (SNHL), and peg-shaped (Hutchinson's) incisors."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,"Differentiate corneal nebula, macula, and leucoma based on pupillary margin/iris visibility and impact on vision.","Nebula (faint opacity): pupillary margin visible, iris visible, causes maximum visual discomfort/glare. Macula: pupillary margin visible, iris NOT visible. Leucoma (dense opacity): pupillary margin NOT visible, iris NOT visible; causes maximum visual impairment (most severe)."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,What four features characterize corneal dystrophies as a group?,"Non-inflammatory, progressive, bilateral, and inherited (mostly autosomal dominant)."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,Which corneal dystrophies are exceptions to the usual autosomal dominant inheritance pattern?,"X-linked recessive (XLR): Lisch epithelial dystrophy. Autosomal recessive (AR): congenital and posterior endothelial dystrophy / macular stromal dystrophy (mucopolysaccharide-mucin accumulation)."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,"What is the most common epithelial corneal dystrophy, and what is its characteristic appearance?","Cogan's epithelial dystrophy (also called fingerprint dystrophy), showing fingerprint-like epithelial defects."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,What deposits and pattern characterize lattice corneal dystrophy?,"Amyloid deposition in the stroma, producing a lattice/branching pattern."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,What deposits and appearance characterize granular corneal dystrophy?,"Hyaline deposition in the stroma, producing a breadcrumb/granular appearance."
Ophthalmology,Part-2,Cornea - Structure & Dystrophies,"What is band-shaped keratopathy, where does it deposit, what causes it, and how is it treated?","Calcium deposition in Bowman's layer; caused by hypercalcemia and chronic posterior uveitis (e.g. JIA-associated uveitis); treated with EDTA chelation."
Ophthalmology,Part-3,Cornea - Investigations & Infections,What does a pachymeter measure and what is the normal value?,"Corneal thickness; normal range is 520-540 micrometers."
Ophthalmology,Part-3,Cornea - Investigations & Infections,Why is corneal thickness (CT) important before LASIK and before IOP measurement?,"A thin cornea (CT <450µm) is a contraindication for LASIK; a thin cornea also underestimates the true IOP on applanation tonometry."
Ophthalmology,Part-3,Cornea - Investigations & Infections,What does a keratometer measure?,Corneal curvature.
Ophthalmology,Part-3,Cornea - Investigations & Infections,What does the Placido disc assess?,"The corneal surface, using reflected concentric rings (keratoscopy) - can detect irregularities like inferior steepening in keratoconus."
Ophthalmology,Part-3,Cornea - Investigations & Infections,What does the Oculus Pentacam assess and how does it work?,"Corneal surface/topography, using Scheimpflug imaging."
Ophthalmology,Part-3,Cornea - Investigations & Infections,"What does fluorescein stain (with cobalt blue filter) show, and in which other tests is fluorescein used?","Stains the base of a corneal ulcer; also used in Goldmann applanation tonometry and in the Seidel test (for detecting aqueous humor leak)."
Ophthalmology,Part-3,Cornea - Investigations & Infections,What does Lissamine green stain demonstrate on the cornea?,Stains the margins of a corneal ulcer (devitalized/damaged cells).
Ophthalmology,Part-3,Cornea - Investigations & Infections,"What does Rose Bengal stain show, and why is it applied last among corneal stains?","Stains devitalized/dead cells and mucus; applied last because of its irritant nature."
Ophthalmology,Part-3,Cornea - Investigations & Infections,How do you differentiate bacterial vs fungal hypopyon?,"Bacterial hypopyon is sterile and mobile; fungal hypopyon is asterile (non-sterile) and immobile."
Ophthalmology,Part-3,Cornea - Investigations & Infections,Which organism classically causes 'ulcus serpens'?,Pneumococcus (Streptococcus pneumoniae).
Ophthalmology,Part-3,Cornea - Investigations & Infections,"Which organism is classically associated with corneal ulcers in contact lens users, and what is the major complication risk?","Pseudomonas; carries a high risk of corneal perforation, sometimes within 48 hours."
Ophthalmology,Part-3,Cornea - Investigations & Infections,Which bacteria are capable of invading an intact (non-abraded) cornea?,"Neisseria, Corynebacterium, Listeria, and Haemophilus."
Ophthalmology,Part-3,Cornea - Investigations & Infections,"What are the classic clinical features of fungal keratitis, and what is the treatment?","Wesley's (immune) ring, satellite lesions, and history of trauma with vegetative matter; physical signs typically exceed the degree of pain; treated with Natamycin; atropine can also be used."
Ophthalmology,Part-3,Cornea - Investigations & Infections,"What are the classic clinical features, stain, and drug of choice for Acanthamoeba keratitis?","Ring abscess, pseudodendrites, history of contact lens misuse, severe pain out of proportion to signs, marked perineuritis; stains with calcofluor white; DOC is PHMB (polyhexamethylene biguanide)."
Ophthalmology,Part-3,Cornea - Investigations & Infections,Which conditions are classically associated with satellite lesions on the cornea?,"Fungal corneal ulcers, Acanthamoeba keratitis, H. influenzae infection, borderline tuberculoid (BT) leprosy, and breast cancer with T4b involvement."
Ophthalmology,Part-3,Cornea - Investigations & Infections,What is the treatment for Superficial Punctate Keratitis (SPK)?,Topical steroids.
Ophthalmology,Part-3,Cornea - Investigations & Infections,"What organism causes dendritic keratitis, and what is the treatment approach (including steroid caution)?","HSV-1 causes dendritic keratitis; treated with topical Acyclovir. Steroids are contraindicated as they can worsen the ulcer/precipitate metaherpetic keratitis; topical antivirals are generally limited to under 2 weeks of continuous use."
Ophthalmology,Part-3,Cornea - Investigations & Infections,What is the treatment for stromal (disciform) keratitis?,Combination of steroids plus acyclovir.
Ophthalmology,Part-3,Cornea - Investigations & Infections,"What is Herpes Zoster Ophthalmicus, and what is Hutchinson's rule used for?","Reactivation of latent VZV causing a pseudo-dendritic corneal ulcer; Hutchinson's rule states that skin lesions along the distribution of the nasociliary nerve (tip of nose) predict a high likelihood of ocular involvement."
Ophthalmology,Part-3,Cornea - Investigations & Infections,"What test detects aqueous humor leak from a corneal ulcer/perforation, and what agent is used?","Seidel's test, using dilute fluorescein dye — a streaming dilution pattern indicates an aqueous leak."
Ophthalmology,Part-4,Keratoconus & Corneal-Scleral Pathology,What are the classic clinical signs of keratoconus?,"Irregular myopic astigmatism; Munson's sign (V-shaped lower lid indentation on downgaze); Vogt's striae (vertical stress lines, pathognomonic, disappear on pressure); Fleischer ring (iron deposition in epithelium); Rizutti sign (arrowhead light reflex); oil droplet sign on ophthalmoscopy; scissoring reflex on retinoscopy."
Ophthalmology,Part-4,Keratoconus & Corneal-Scleral Pathology,What is a pseudo-Fleischer ring and when is it seen?,It is seen in hypermetropia (mimics the true Fleischer ring of keratoconus but is not due to keratoconus).
Ophthalmology,Part-4,Keratoconus & Corneal-Scleral Pathology,"What is the Kayser-Fleischer (KF) ring, what causes it, and what systemic involvement does it predict?","Copper deposition in Descemet's membrane, seen in Wilson's disease; associated with hepatic involvement in ~50% and neurological involvement in ~90% of cases."
Ophthalmology,Part-4,Keratoconus & Corneal-Scleral Pathology,What are the two main treatment options for progressive keratoconus?,"INTACS (intrastromal corneal ring segments) and C3R (collagen cross-linking of the cornea using riboflavin)."
Ophthalmology,Part-4,Keratoconus & Corneal-Scleral Pathology,What is the sequence of events in acute corneal hydrops in keratoconus?,Keratoconus → Descemet's membrane tear → corneal hydrops (sudden stromal edema).
Ophthalmology,Part-4,Keratoconus & Corneal-Scleral Pathology,How do you differentiate scleritis from episcleritis based on pain and phenylephrine test?,"Scleritis: severe pain (++), does NOT blanch with 2.5% phenylephrine, associated with rheumatoid arthritis (RA). Episcleritis: minimal/lesser pain, DOES blanch with 2.5% phenylephrine, no systemic association."
Ophthalmology,Part-4,Keratoconus & Corneal-Scleral Pathology,What is Mooren's ulcer?,A serpiginous corneal ulcer of autoimmune origin.
Ophthalmology,Part-4,Keratoconus & Corneal-Scleral Pathology,"How do you distinguish scleromalacia perforans from a staphyloma in a thinned, bluish sclera?","Scleromalacia perforans is associated with rheumatoid arthritis (a form of scleritis); if there is no history of RA, consider staphyloma instead."
Ophthalmology,Part-4,Keratoplasty,"What are the three main types of keratoplasty, and how much of the cornea does each replace?","PK (Penetrating Keratoplasty) - all corneal layers replaced. DALK (Deep Anterior Lamellar Keratoplasty) - replaced till mid-stroma (endothelium spared). DSEK (Descemet Stripping Endothelial Keratoplasty) - only endothelium/Descemet's membrane replaced, stroma undisturbed."
Ophthalmology,Part-4,Keratoplasty,What are the main indications for keratoplasty?,"Corneal ulcers, bullous keratopathy, and keratoconus."
Ophthalmology,Part-4,Keratoplasty,"Within what time frame must a corneal graft be taken from a cadaver, and what medium is it stored in?","Within 6 hours from the cadaver; stored in McCarey-Kauffman medium, viable for 48-72 hours."
Ophthalmology,Part-4,Keratoplasty,What type of sutures are typically used in keratoplasty?,Nylon sutures.
Ophthalmology,Part-4,Keratoplasty,What are the signs of corneal graft rejection?,"Khodadoust line, Kayes dots (subepithelial), and keratic precipitates (KP)."
Ophthalmology,Part-5,Lens Anatomy & Congenital Lens Disorders,Where is the lens located anatomically and is it vascular?,"The lens sits in the patellar fossa (posterior to iris, anterior to vitreous) and is avascular."
Ophthalmology,Part-5,Lens Anatomy & Congenital Lens Disorders,What are the refractive indices of the lens nucleus vs cortex?,Nucleus = 1.41; Cortex = 1.38.
Ophthalmology,Part-5,Lens Anatomy & Congenital Lens Disorders,"What are lens proteins called, which is most common, and which is largest?","Water-soluble lens proteins are called crystallins; the most common (MC) is beta-crystallin; the largest is alpha-crystallin. HM1 and HM2 (high molecular weight) crystallins are also water soluble."
Ophthalmology,Part-5,Lens Anatomy & Congenital Lens Disorders,What are the lens epithelial cell types at the equator responsible for growth?,"A cells (epithelial cells, resting); E cells (columnar, actively dividing/elongating to form new lens fibers) at the region of active mitosis (equator/bow region)."
Ophthalmology,Part-5,Lens Anatomy & Congenital Lens Disorders,Which direction does ectopia lentis occur in Marfan syndrome vs Homocystinuria?,"Marfan syndrome: superotemporal lens dislocation. Homocystinuria: inferonasal lens dislocation."
Ophthalmology,Part-5,Lens Anatomy & Congenital Lens Disorders,What condition causes microspherophakia with anteriorly positioned lens and positional myopia?,Weill-Marchesani syndrome.
Ophthalmology,Part-5,Lens Anatomy & Congenital Lens Disorders,Anterior lenticonus is associated with which syndrome? Posterior lenticonus with which syndrome?,"Anterior lenticonus - Alport syndrome. Posterior lenticonus - Lowe syndrome (oculo-cerebro-renal syndrome)."
Ophthalmology,Part-5,Lens Anatomy & Congenital Lens Disorders,"What is the most common congenital cataract (usually asymptomatic), and which type most commonly causes diminution of vision?","Blue dot (cerulean) cataract is the most common congenital cataract overall (often asymptomatic, also seen in Down syndrome). Lamellar/zonular cataract is the most common congenital cataract that leads to diminished vision, and is associated with rickets, congenital rubella, and vitamin D deficiency."
Ophthalmology,Part-5,Lens Anatomy & Congenital Lens Disorders,What causes fluctuating myopic shifts in refraction and by what mechanism?,"Diabetes mellitus, due to osmotic imbalance (sorbitol accumulation in the lens)."
Ophthalmology,Part-5,Cataract Types,"What causes snowflake cataract, and what is the mechanism?","Diabetes mellitus, due to sorbitol accumulation in the lens."
Ophthalmology,Part-5,Cataract Types,What causes sunflower cataract?,"Copper deposition, seen in Wilson's disease and chalcosis (intraocular copper foreign body)."
Ophthalmology,Part-5,Cataract Types,What condition is associated with Christmas tree cataract?,Myotonic dystrophy.
Ophthalmology,Part-5,Cataract Types,What is the Cuneiform cataract and what type of cataract does it describe?,A mature cortical cataract pattern (wedge-shaped opacities in the cortex).
Ophthalmology,Part-5,Cataract Types,"What is pseudoexfoliation syndrome, in whom is it seen, and what sign and glaucoma association does it have?","A degenerative condition of the elderly showing the 'Hoarfrost sign'; it is associated with pigmentary glaucoma, which shows a Krukenberg spindle on the corneal endothelium."
Ophthalmology,Part-5,Cataract Types,What is 'second sight' phenomenon and with which cataract type is it seen?,"Improved near vision (myopic shift, better day/near vision than distance/night vision) seen with nuclear cataract, due to index myopia."
Ophthalmology,Part-5,Cataract Types,"How do immature, mature, and hypermature cataracts differ on slit lamp exam?","Immature cataract: cortex is spared (partial opacification), iris shadow present. Mature cataract: no iris shadow, no cortex clearly visible (complete opacification). Hypermature cataract: further divided into Morgagian type (liquefied cortex, nucleus sinks) and Sclerotic type (cortex gets absorbed)."
Ophthalmology,Part-5,Cataract Types,What symptoms are classic for posterior subcapsular cataract?,Difficulty in bright light and glare (due to opacity near the visual axis/nodal point).
Ophthalmology,Part-5,Cataract Types,"What is polychromatic lustre / breadcrumb cataract, and what is its most common cause (MCC)?","A complicated cataract; the most common cause is chronic uveitis."
Ophthalmology,Part-5,Cataract Types,What causes 'Glassblower's cataract'?,Exposure to infrared (IR) radiation.
Ophthalmology,Part-5,Cataract Types,What causes a shield-like anterior subcapsular cataract?,"Atopic dermatitis, steroid use, NF2 (neurofibromatosis type 2), amiodarone, and chlorpromazine."
Ophthalmology,Part-5,Cataract-Associated Glaucoma & Uveitis,"Differentiate phacomorphic, phacolytic, phacotoxic glaucoma, and phacoanaphylactic uveitis by mechanism.","Phacomorphic glaucoma: intumescent (swollen) cataract causes a shallow anterior chamber. Phacolytic glaucoma: deep anterior chamber with leakage of denatured lens proteins through an intact capsule (mature/hypermature cataract). Phacotoxic glaucoma and Phacoanaphylactic uveitis: both occur when lens particles leak because the capsule is NOT intact (ruptured)."
Ophthalmology,Part-5,Cataract-Associated Glaucoma & Uveitis,What is the Fincham test used to differentiate and what are the findings?,"Used to differentiate corneal edema from cataract using colored halos around a light source: corneal edema shows colored halos present; cataract shows no colored halos."
Ophthalmology,Part-5,Cataract-Associated Glaucoma & Uveitis,What sign is seen on the corneal endothelium in pigmentary glaucoma?,Krukenberg spindle (vertical pigment deposition on corneal endothelium).
