subject,deck,topic,front,back
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Natural History of Disease,"In the natural history of disease, point A (exposure) marks the start of which stage?",The stage of susceptibility.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Natural History of Disease,"Point B, the onset of pathologic changes, begins which stage of disease?",The stage of subclinical disease.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Natural History of Disease,"Point C, the onset of symptoms, begins which stage of disease?",The stage of clinical disease.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Natural History of Disease,What does point D represent in the natural history of disease?,The usual time of diagnosis.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Natural History of Disease,List the four stages of the natural history of disease in order.,"Stage of susceptibility -> stage of subclinical disease -> stage of clinical disease -> stage of recovery, disability or death."
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Natural History of Disease,What is 'lead time' in screening?,The interval from point D (usual time of diagnosis) back to point B (when screening detects the disease) - i.e. 'D to B'.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Natural History of Disease,"What is the bias called when screening appears to increase survival only because the disease was diagnosed earlier, without changing the actual outcome?",Lead time bias.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Case Definitions,What is the first case of a disease in the community called?,Primary case.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Case Definitions,What is the first observed (detected) case called?,Index case.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Case Definitions,What is the time interval between a primary case and a secondary case called?,Serial interval.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Case Definitions,What is the time between entry of the organism and the appearance of symptoms called?,Incubation period.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Case Definitions,What is the time between entry of the organism and maximum communicability called?,Generation time.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Case Definitions,Isolation is applied to whom?,Diseased patients.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Case Definitions,Quarantine is applied to whom?,Exposed individuals.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Case Definitions,What is the quarantine period (QP) of yellow fever?,6 days.
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Models,What are the three components of the epidemiological triad?,"Agent, host, and environment."
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Models,How does the epidemiological triangle differ from the triad?,"It adds Time at the centre - agent, host and environment sit at the corners with time in the middle."
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Models,"In the advanced triad of epidemiology, what falls under 'Agent'?","Causative factors, risk factors, and environmental exposures."
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Models,"In the advanced triad of epidemiology, what falls under 'Time'?","Time characteristics, incubation/latency, length of disease process, and trends and cycles."
Preventive and Social Medicine (PSM),"Part-1: Concept of Health, Natural History & Health Indices",Epidemiological Models,"In the advanced triad of epidemiology, what falls under 'Host'?","Person characteristics, and group/population demographics."
