subject,deck,topic,front,back
Hematology,Part-1: RBC Basics & Development,RBC Indices,How is MCV (mean corpuscular volume) calculated?,MCV = PCV / RBC count.
Hematology,Part-1: RBC Basics & Development,RBC Indices,How is MCH (mean corpuscular hemoglobin) calculated?,MCH = Hb / RBC count.
Hematology,Part-1: RBC Basics & Development,RBC Indices,How is MCHC (mean corpuscular hemoglobin concentration) calculated?,MCHC = MCH / MCV.
Hematology,Part-1: RBC Basics & Development,RBC Indices,How can hematocrit (Hct) be estimated from hemoglobin?,Hct = Hb x 3%.
Hematology,Part-1: RBC Basics & Development,Peripheral Smear,At what angle is the spreader held when making a peripheral blood smear?,30-45 degrees.
Hematology,Part-1: RBC Basics & Development,Peripheral Smear,What is the shape of a well-made peripheral smear and what are its three parts?,"Tongue-shaped; head, body, and tail."
Hematology,Part-1: RBC Basics & Development,Peripheral Smear,"Which class of stain is used for peripheral smears, and give examples.","Romanowsky stains - e.g. Leishman, Giemsa, Wright, Jenner."
Hematology,Part-1: RBC Basics & Development,Peripheral Smear,"In Romanowsky stains, which component is the basic (positively charged) dye and which is the acidic dye?",Basic = methylene blue; acidic = eosin Y.
Hematology,Part-1: RBC Basics & Development,Hematopoiesis (Gestation),"Where does hematopoiesis occur in the 3rd week of gestation, and which hemoglobins are produced there?",Yolk sac; produces Portland Hb and Gower 1 & 2.
Hematology,Part-1: RBC Basics & Development,Hematopoiesis (Gestation),"Where does hematopoiesis occur in the 3rd month of gestation, and which hemoglobin predominates?",Liver and spleen; HbF (alpha2 gamma2).
Hematology,Part-1: RBC Basics & Development,Hematopoiesis (Gestation),What are the hematopoietic sites in the 4th month of gestation?,Liver + bone marrow.
Hematology,Part-1: RBC Basics & Development,Hematopoiesis (Gestation),Which bones perform hematopoiesis up to 20 years of age?,Bone marrow of long AND flat bones.
Hematology,Part-1: RBC Basics & Development,Hematopoiesis (Gestation),Which bones perform hematopoiesis after 20 years of age?,Bone marrow of flat bones only.
Hematology,Part-1: RBC Basics & Development,RBC Maturation,What are 'nurse cells' in erythropoiesis?,Bone marrow macrophages that assist in RBC development.
Hematology,Part-1: RBC Basics & Development,RBC Maturation,Which transcription factors drive RBC development?,GATA and FOG.
Hematology,Part-1: RBC Basics & Development,RBC Maturation,What surface marker identifies the pluripotent hematopoietic stem cell?,CD34+.
Hematology,Part-1: RBC Basics & Development,RBC Maturation,List the RBC maturation sequence from stem cell to mature red cell.,Pluripotent hematopoietic stem cell (CD34+) -> proerythroblast (pronormoblast) -> erythroblast (normoblast) -> reticulocyte -> erythrocyte.
Hematology,Part-1: RBC Basics & Development,RBC Maturation,Which is the first cell in which hemoglobin can be visualised on electron microscopy?,Proerythroblast (pronormoblast).
Hematology,Part-1: RBC Basics & Development,RBC Maturation,List the erythroblast (normoblast) substages in order.,Basophilic erythroblast -> polychromatophilic erythroblast -> orthochromatic erythroblast.
Hematology,Part-1: RBC Basics & Development,RBC Maturation,At which stage does hemoglobin synthesis begin?,Polychromatophilic erythroblast stage.
Hematology,Part-1: RBC Basics & Development,RBC Maturation,Which is the first cell in which hemoglobin is visible on light microscopy?,Polychromatophilic erythroblast.
Hematology,Part-1: RBC Basics & Development,RBC Maturation,At which step is the nucleus (and some organelles) lost?,When the orthochromatic erythroblast becomes a reticulocyte (in the marrow).
Hematology,Part-1: RBC Basics & Development,RBC Maturation,When are the remaining organelles lost?,When the reticulocyte becomes an erythrocyte (in the blood).
Hematology,Part-1: RBC Basics & Development,RBC Maturation,How long does a reticulocyte typically spend in marrow versus blood?,About 3 days in marrow and 1 day in blood.
Hematology,Part-1: RBC Basics & Development,RBC Maturation,What is the lifespan of an erythrocyte?,About 120 days.
Hematology,Part-1: RBC Basics & Development,RBC Maturation,What fraction of circulating RBCs are reticulocytes?,About 1%.
Hematology,Part-1: RBC Basics & Development,Erythropoiesis Regulation,What is the earliest committed cell in erythropoiesis?,BFU-E (burst-forming unit - erythroid).
Hematology,Part-1: RBC Basics & Development,Erythropoiesis Regulation,Which erythroid cell has the highest number of EPO receptors?,CFU-E (colony-forming unit - erythroid).
Hematology,Part-1: RBC Basics & Development,Erythropoiesis Regulation,"What effect do EPO, GH, T3, cortisol and testosterone have on RBC production?",They increase RBC production.
Hematology,Part-1: RBC Basics & Development,Erythropoiesis Regulation,What effect does estrogen have on RBC production?,It decreases RBC production.
Hematology,Part-1: RBC Basics & Development,Reticulocytes,What is a reticulocyte in relation to RBCs?,The immediate precursor of RBCs.
Hematology,Part-1: RBC Basics & Development,Reticulocytes,"Reticulocyte count is used to monitor which therapy, and when does it rise?",Iron therapy; it rises in 5-7 days.
Hematology,Part-1: RBC Basics & Development,Reticulocytes,What is the youngest RBC stage normally seen in peripheral blood?,The reticulocyte (1st in peripheral blood).
Hematology,Part-1: RBC Basics & Development,Reticulocytes,What type of stain demonstrates reticulocytes and what does it stain?,Supravital stain; it stains the RNA of the live cell.
Hematology,Part-1: RBC Basics & Development,Reticulocytes,Name two supravital stains used for reticulocytes.,Brilliant cresyl blue and new methylene blue.
Hematology,Part-1: RBC Basics & Development,Reticulocytes,Give the formula for the corrected reticulocyte count.,Corrected retic count = Retic% x (Patient Hb / Normal Hb).
Hematology,Part-1: RBC Basics & Development,Reticulocytes,Give the formula for the reticulocyte production index (RPI).,RPI = Corrected retic count / Maturation time.
Hematology,Part-1: RBC Basics & Development,Reticulocytes,"In RPI, list the maturation (correction) times for PCV values of 45, 35, 25 and 15.",PCV 45 -> 1 day; 35 -> 1.5 days; 25 -> 2 days; 15 -> 2.5 days.
Hematology,Part-1: RBC Basics & Development,Bone Marrow Sampling,Name the two bone marrow aspiration needles described.,Salah's needle (with a side flange) and Klima's needle.
Hematology,Part-1: RBC Basics & Development,Bone Marrow Sampling,"What is the core bone marrow biopsy needle called, and its older name?",Core BM biopsy needle; the old name is Jamshidi needle.
Hematology,Part-1: RBC Basics & Development,Bone Marrow Sampling,Preferred site for BMA/BMB in an adult?,Posterior superior iliac spine (PSIS).
Hematology,Part-1: RBC Basics & Development,Bone Marrow Sampling,Preferred site for BMA/BMB in a child?,Tibia.
Hematology,Part-1: RBC Basics & Development,Bone Marrow Sampling,Is a low platelet count a contraindication to BMA/BMB?,"No; if platelets < 20,000, transfuse first and then proceed."
Hematology,Part-1: RBC Basics & Development,Anemia Classification,"Give the MCV cut-offs for microcytic, normocytic and macrocytic anemia.",Microcytic MCV < 80 fL; normocytic MCV 80-100 fL; macrocytic MCV > 100 fL.
Hematology,Part-1: RBC Basics & Development,Anemia Classification,"Hemolytic anemia falls in which MCV category, and what is its reticulocyte index?",Normocytic; high reticulocyte index.
Hematology,Part-1: RBC Basics & Development,Anemia Classification,Which two serum markers are raised in hemolytic anemia?,Increased serum LDH and increased serum bilirubin.
Hematology,Part-1: RBC Basics & Development,Anemia Classification,"Name two normocytic, non-hemolytic anemias.",Early IDA and anemia of chronic disease (ACD).
Hematology,Part-1: RBC Basics & Development,Anemia Classification,Hemolytic anemias are divided into which two broad categories?,Intrinsic and extrinsic.
Hematology,Part-1: RBC Basics & Development,Intrinsic Hemolysis,Intrinsic hemolytic anemias due to Hb defects - name them.,"HbS, HbC, thalassemia."
