subject,deck,topic,front,back
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Stream,"Which thought stream disorder is an unstoppable rapid flow of connected ideas, typical of mania?",Flight of ideas
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Stream,"What term describes rapid, uninterruptible speech seen in mania?",Pressure of speech
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Stream,"What thought stream abnormality involves slowed thinking or sudden stopping of thought, seen in depression?",Thought retardation / thought block
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Stream,What thought disorder involves excessive unnecessary detail before eventually reaching the point?,Circumstantiality
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Stream,What term describes excessive wordiness/verbosity in speech?,Prolixity
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Stream,"What thought disorder links words by sound or rhyme rather than meaning (e.g. ""I'm fine, dine, shine, all the time"")?",Clang association
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Stream,What is perseveration?,Persistent repetition of the same response regardless of the question being asked (e.g. giving the same answer to different MSE questions)
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Stream,What is palilalia?,Repetition of one's own word(s)
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Stream,What is logoclonia?,Repetition of the last syllable of a word
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Content & Possession,What is the main disorder of thought content?,"Delusion - a fixed, firm, unshakeable false belief, out of keeping with the patient's social/cultural background, that does not respond to reason and impairs social/occupational function"
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Content & Possession,What delusion of thought possession is the belief that others are inserting thoughts into one's mind?,Thought insertion
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Content & Possession,What delusion of thought possession is the belief that one's thoughts are being taken away?,Thought withdrawal
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Content & Possession,What delusion of thought possession is the belief that one's thoughts escape the mind and others can access/read them?,Thought broadcast
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Content & Possession,Are obsessions ego-syntonic or ego-dystonic?,"Ego-dystonic - recognized by the patient as intrusive and unwanted, distinguishing them from delusions"
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Form,"What formal thought disorder involves sudden illogical shifts between ideas with no logical connection (""knight's move thinking"")?",Derailment
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Form,What formal thought disorder is a gradual loosening of logical connections between ideas or sentences?,Loosening of association
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Form,What formal thought disorder involves wandering off-topic and never returning to the original point?,Tangentiality
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Form,What is a neologism?,A newly coined word or phrase with idiosyncratic meaning known only to the patient
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Form,"What formal thought disorder is a complete breakdown of logical connections between words, producing ""word salad""?",Incoherence
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Form,"Derailment, loosening of association, tangentiality, and incoherence are classic formal thought disorders of which illness?",Schizophrenia
Psychiatry,Part-1: Psychopathology & MSE,Thought Disorders - Form,"[Vignette] Asked her age, a patient gives a long roundabout life history before eventually answering ""I am 38 years old."" Which thought disorder is this, and how is it distinguished from tangentiality/derailment?","Circumstantiality - the patient eventually reaches and answers the original question, unlike tangentiality or derailment"
Psychiatry,Part-1: Psychopathology & MSE,Delusional & Misidentification Syndromes,What is the most common type of delusion?,Delusion of persecution
