subject,deck,topic,front,back
Orthopaedics,Part-1: Nerve Injuries & Compression,Nerve Injury Classification,What are Seddon's three types of nerve injury and their key distinguishing features?,"Neurapraxia: nerve continuity is normal, no Wallerian degeneration, 100% recovery since the nerve is only compressed. Axonotmesis: axon is broken but the sheath stays intact, Wallerian degeneration occurs, and regeneration proceeds at about 1 mm/day. Neurotmesis: both axon and sheath are broken, so surgical repair is needed."
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,Which nerve is most commonly injured in a shoulder dislocation or fracture of the neck of the humerus?,The axillary nerve (more common than the musculocutaneous nerve).
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,Which nerve is injured in a Holstein-Lewis fracture (distal humeral shaft #)?,Radial nerve.
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,Which nerve is classically injured in a Monteggia fracture-dislocation?,"The posterior interosseous nerve (PIN), a branch of the radial nerve."
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,Which nerve is entrapped in supinator syndrome?,Radial nerve (deep/PIN branch as it passes through the supinator - arcade of Frohse).
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,"Which nerve is involved in pronator syndrome, wrist dislocation, and carpal tunnel syndrome?",Median nerve.
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,"In a supracondylar humerus fracture, what is the order of nerve injury from most to least common (mnemonic AMRU)?",AIN > Median > Radial > Ulnar.
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,"A lateral condylar fracture of the humerus causing cubitus valgus leads to injury of which nerve, and what is this delayed presentation called?",Ulnar nerve injury; called 'tardy ulnar nerve palsy' because onset is delayed.
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,"Which nerve is involved in elbow dislocation, cubital tunnel syndrome, and Guyon's canal syndrome (linked to hook of hamate fracture)?",Ulnar nerve.
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,Cheralgia paraesthetica (Wartenberg syndrome) involves entrapment of which nerve?,The radial cutaneous nerve (superficial branch of the radial nerve).
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,"Meralgia paraesthetica involves which nerve, and what maneuver aids diagnosis?",Lateral cutaneous nerve of the thigh; diagnosed with McRoberts' maneuver.
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,Piriformis syndrome compresses which nerve?,Sciatic nerve.
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,Tarsal tunnel syndrome involves which nerve?,Posterior tibial nerve.
Orthopaedics,Part-1: Nerve Injuries & Compression,Site-Nerve Associations,"A fracture of the neck of the fibula, especially in the lithotomy position, injures which nerve?",Common peroneal nerve (CPN).
Orthopaedics,Part-1: Nerve Injuries & Compression,Foot Drop,What causes foot drop and what gait pattern does it produce?,Common peroneal nerve injury; produces a high-steppage or slapping gait.
Orthopaedics,Part-1: Nerve Injuries & Compression,Foot Drop,What splint is used to manage foot drop?,A toe-raising splint (ankle-foot orthosis).
Orthopaedics,Part-1: Nerve Injuries & Compression,Shoulder Abduction,What are the three phases of shoulder abduction and the muscles responsible for each?,0-15 degrees: supraspinatus initiates abduction. 15-90 degrees: deltoid. Beyond 90 degrees: serratus anterior plus trapezius (scapular rotation).
Orthopaedics,Part-1: Nerve Injuries & Compression,Axillary Nerve,"What two actions does the axillary nerve control, and what is its sensory area called?",Deltoid (15-90 degree abduction) and teres minor (external rotation); sensation over the lateral arm is called the 'regimental badge' area.
Orthopaedics,Part-1: Nerve Injuries & Compression,Musculocutaneous Nerve,What muscles does the musculocutaneous nerve supply and what are their actions?,"Biceps brachii (flexion at elbow), brachialis (flexion plus supination at elbow), and coracobrachialis (flexion plus supination at elbow); it also supplies sensation to the lateral forearm."
Orthopaedics,Part-1: Nerve Injuries & Compression,Shoulder Spaces,What passes through the quadrangular space of the shoulder?,The axillary nerve and the posterior circumflex humeral artery.
Orthopaedics,Part-1: Nerve Injuries & Compression,Shoulder Spaces,What passes through the inferior (triangular) space of the shoulder?,The radial nerve and the profunda brachii artery.
Orthopaedics,Part-1: Nerve Injuries & Compression,Shoulder Spaces,What passes through the superior triangular space of the shoulder?,The circumflex scapular artery.
Orthopaedics,Part-1: Nerve Injuries & Compression,Median Nerve Tests,Which muscles/functions are clinically tested to check median nerve integrity?,"FDS, FPL, FDP (lateral 3 digits), and the thenar muscles (except adductor pollicis)."
Orthopaedics,Part-1: Nerve Injuries & Compression,Median Nerve Tests,"What are the three classic provocative tests for carpal tunnel syndrome, and which is most sensitive?","Phalen's test, Tinel's test, and Durkan's (carpal compression) test; Durkan's test is the most sensitive."
