subject,deck,topic,front,back
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,Where is the centre for the deglutition (swallowing) reflex located?,The Nucleus Tractus Solitarius (NTS) in the medulla
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,Which cranial nerves are involved in the deglutition reflex?,"Cranial nerves 5, 9, 10, and 12"
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,"During swallowing, what does elevation of the soft palate achieve?","It closes Passavant's ridge, preventing nasal regurgitation"
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,"During swallowing, what is the purpose of glottis closure?",Airway protection
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,"During swallowing, what happens to the upper esophageal sphincter (UES) and why?","It relaxes, allowing food to enter the esophagus"
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,What is the enterogastric reflex?,A reflex in which the duodenum inhibits gastric motility and gastric emptying
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,Which hormones mediate the enterogastric reflex?,"Cholecystokinin (CCK), Secretin, and Peptide YY"
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,"Rank the relative stimulus strength of fat, protein, and carbohydrate for the enterogastric reflex",Fat > Protein > Carbohydrates
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,What are the two main mediators/triggers of the enterogastric reflex?,Duodenal acidity and increased osmolarity of chyme
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,What triggers the gastrocolic reflex and what is its effect?,"Stomach distension triggers it, leading to increased colonic motility (specifically sigmoid colon contraction)"
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,"In which group is the gastrocolic reflex more pronounced, and what everyday phenomenon does it explain?","It is more pronounced in children/babies, and explains the urge to defecate after meals"
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,What triggers the gastroileal reflex and what is its effect?,"Stomach distention triggers it, leading to increased ileal peristalsis"
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,What happens to the ileocecal valve during the gastroileal reflex?,"It relaxes, allowing old ileal contents to move into the colon"
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,What are the three steps in the mechanism of the defecation reflex?,"(a) Rectal distension, (b) relaxation of the internal anal sphincter (involuntary, via parasympathetic system), (c) relaxation of the external anal sphincter (voluntary control)"
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,What rectal pressure corresponds to the first urge to defecate?,18 mmHg
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Reflexes,What rectal pressure corresponds to involuntary defecation?,55 mmHg
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Motility - Electrical,What are the two broad types of GI motility?,Electrical motility and Mechanical motility
Gastrointestinal & Hepatobiliary Systems,Part-1: GI Reflexes & Motility,GI Motility - Electrical,What generates the Basal Electrical Rhythm (BER) and what is its voltage range?,"It is generated by the interstitial cells of Cajal (the GI pacemaker cells), ranging from -45 to -65 mV"
