subject,deck,topic,front,back
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What percentage of body weight is Total Body Water (TBW)?,60% of body weight is water
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,How does TBW compare between males and females?,TBW is greater in males than in females
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,How does TBW change with age?,TBW decreases with age
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,Which substances/markers are used to measure total body water?,"D2O (deuterium oxide), T2O (tritiated water), and Antipyrine"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What fraction of TBW is intracellular fluid (ICF)?,2/3 of total body water
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What fraction of TBW is extracellular fluid (ECF)?,1/3 of total body water
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,Why can't ICF volume be measured directly?,"Because it is inside the cells, so it cannot be measured directly; it is calculated as TBW minus ECF"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,Which substances are used to measure ECF volume?,"Mannitol, sucrose, inulin, and sodium thiosulfate (substances that do not enter cells)"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,ECF is further divided into which two compartments?,Interstitial fluid and plasma
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What fraction of ECF is interstitial fluid?,3/4 of ECF (the major portion)
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What fraction of ECF is plasma?,1/4 of ECF (the minor portion)
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,Can interstitial fluid volume be measured directly?,"No, it cannot be measured directly; it is calculated as ECF minus plasma volume"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,Which substances are used to measure plasma volume?,RISA (Radio-Iodinated Serum Albumin) and Evans blue (T-1824)
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What is transcellular fluid and what are examples?,Fluid separated from plasma by an extra layer of epithelium; examples include synovial fluid and pleural fluid
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,"A patient is injected with 500 mg mannitol. Plasma mannitol concentration is 3 mg/dL, and 10% of the dose is excreted in urine before equilibrium. What volume/compartment is being estimated, and what is its value?",The extracellular fluid volume is estimated. Volume = mass/concentration = (500 - 10% of 500)/3 = 450/3 = 150 dL = 15 L
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What are the major cations of ECF?,Sodium (Na+) and Calcium (Ca2+)
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What are the major cations of ICF?,Potassium (K+) and Magnesium (Mg2+)
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What are the major anions of ECF?,Chloride (Cl-) and Bicarbonate (HCO3-)
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What are the major anions of ICF?,Phosphate and proteins
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,How does protein content compare between ECF and ICF?,ECF has low protein content while ICF has high protein content
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,How does pH compare between ECF and ICF?,"ECF pH is higher/more alkaline (~7.4), while ICF pH is lower/more acidic (~7.0)"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What is the major buffer of ECF?,Bicarbonate (HCO3-)
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,What is the major buffer of ICF?,Proteins
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,Approximately what are plasma vs ICF sodium concentrations?,"Plasma (ECF) Na+ is about 142 mEq/L, while ICF Na+ is about 10 mEq/L"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,Approximately what are plasma vs ICF potassium concentrations?,"Plasma (ECF) K+ is about 4 mEq/L, while ICF K+ is about 140 mEq/L"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Body Fluid Compartments,Approximately what are ECF vs ICF protein concentrations?,"ECF protein is about 2 g/dL (5 mEq/L), while ICF protein is about 16 g/dL (40 mEq/L)"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Darrow-Yannet Diagrams,"In a Darrow-Yannet diagram, what are the two axes and two compartments plotted?","Volume is plotted on the x-axis and osmolality on the y-axis, showing ICF and ECF as adjacent boxes"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Darrow-Yannet Diagrams,Which compartment is initially affected by any fluid loss or gain?,The ECF compartment is initially affected
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Darrow-Yannet Diagrams,Why must ICF and ECF eventually reach the same osmolality after a fluid shift?,Because free water moves from the more dilute compartment to the less dilute compartment (like osmosis) until osmolalities equalize
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Darrow-Yannet Diagrams,What is the first step when approaching a Darrow-Yannet diagram problem?,Determine whether the ECF volume is contracted (fluid loss) or expanded (fluid gain)
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Darrow-Yannet Diagrams,"Describe the fluid shift, osmolality change, and give examples for isotonic fluid loss.","Only ECF volume decreases; overall osmolality is unchanged (no free water shift); examples: hemorrhage, diarrhea (the older Cerebellum PDF also lists vomiting as an example)"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Darrow-Yannet Diagrams,"Describe the fluid shift, osmolality change, and give examples for hypertonic fluid loss.","ECF osmolality is reduced, so ECF gives free water to ICF (ICF expands, ECF shrinks further); overall osmolality is reduced; examples: Addison's disease, loop diuretics"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Darrow-Yannet Diagrams,"Describe the fluid shift, osmolality change, and give examples for hypotonic fluid loss.","ECF osmolality increases, so ICF gives free water to ECF (ICF shrinks further); overall osmolality increases; examples: sweating (water loss > Na+ loss), diabetes insipidus"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Darrow-Yannet Diagrams,"Describe the fluid shift, osmolality change, and give an example for isotonic fluid gain.",Only ECF volume increases; overall osmolality is unchanged; example: crystalloid infusion
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Darrow-Yannet Diagrams,"Describe the fluid shift, osmolality change, and give an example for hypertonic fluid gain.","ECF osmolality increases, so ICF gives free water to ECF (ICF shrinks, ECF expands more); overall osmolality increases; example: 3% NaCl infusion"
General Physiology,Part 1 - Body Fluid Compartments & Darrow-Yannet,Darrow-Yannet Diagrams,"Describe the fluid shift, osmolality change, and give examples for hypotonic fluid gain.","ECF osmolality decreases, so ECF gives free water to ICF (ICF expands, ECF expands less); overall osmolality is reduced; examples: polydipsia, SIADH"
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,What is the resting membrane potential (RMP) of a nerve cell?,-70 mV
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,What ion movement maintains the RMP?,K+ leaking out of the cell (K+ efflux via leaky channels)
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,What is primarily responsible for maintaining RMP?,The high resting permeability of the membrane to K+
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,What ion movement causes depolarization?,Na+ influx into the cell
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,What channel event underlies depolarization?,Opening of voltage-gated Na+ channels
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,What ion movement causes repolarization?,K+ efflux out of the cell
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,What two channel changes occur together during repolarization?,K+ channels open (causing efflux) while Na+ channels inactivate
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,What ion movement causes hyperpolarization?,Continued K+ efflux beyond the resting potential
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,Why does hyperpolarization make the membrane more negative than RMP?,Because K+ efflux continues even after the membrane reaches RMP
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,What is the threshold (trigger) potential for firing a nerve action potential?,-55 mV
General Physiology,Part 2 - Nerve & Muscle Physiology,Resting Membrane Potential & Action Potential,What is the approximate peak (overshoot) of the nerve action potential?,About +35 mV per the newer CoreBTR/BTR 3.0 source (matching the Na+ channel inactivation range); the older Cerebellum PDF graph shows a peak of approximately +30 mV
General Physiology,Part 2 - Nerve & Muscle Physiology,Na+ Channel Gating States,Describe the Na+ channel in the resting (closed) state - gate status and function.,"Activation gate is closed, inactivation gate is open; the channel is ready to open"
General Physiology,Part 2 - Nerve & Muscle Physiology,Na+ Channel Gating States,Describe the Na+ channel in the activated (open) state - gate status and function.,"Both activation and inactivation gates are open, allowing Na+ influx and depolarization"
General Physiology,Part 2 - Nerve & Muscle Physiology,Na+ Channel Gating States,Describe the Na+ channel in the inactivated state - gate status and function.,"Activation gate is open but inactivation gate is closed, so no Na+ entry occurs; this underlies the refractory period"
General Physiology,Part 2 - Nerve & Muscle Physiology,Na+ Channel Gating States,At what membrane potential is the Na+ channel in the resting state?,-90 mV
General Physiology,Part 2 - Nerve & Muscle Physiology,Na+ Channel Gating States,Over what membrane potential range is the Na+ channel activated (open)?,-90 mV to +35 mV
General Physiology,Part 2 - Nerve & Muscle Physiology,Na+ Channel Gating States,Over what membrane potential range is the Na+ channel inactivated?,+35 mV to -90 mV (inactivation is delayed)
