subject,deck,topic,front,back
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Pacemaker vs Myocyte AP,What phases are present in the pacemaker action potential?,Phases 4-0-3 only; there is no true resting potential; pacemaker cells generate their own rhythm.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Pacemaker vs Myocyte AP,"What phases are present in the myocyte (ventricular) action potential, and what does it correspond to on ECG?",Phases 0-1-2-3-4; it corresponds to the QT interval; phase 4 is the true resting membrane potential.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Pacemaker AP,What ion current and channel type produces phase 0 of the pacemaker action potential?,"Ca2+ influx through L-type (long-lasting) calcium channels, which are blocked by calcium channel blockers."
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Pacemaker AP,What produces phase 3 of the pacemaker action potential?,K+ efflux.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Pacemaker AP,What produces phase 4 of the pacemaker action potential?,"A mixed Na+ and K+ 'funny current', plus Ca2+ influx through T-type (transient) calcium channels."
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Myocyte AP,What produces phase 0 of the myocyte action potential?,Na+ influx.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Myocyte AP,What produces phase 1 of the myocyte action potential?,K+ efflux.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Myocyte AP,What produces phase 2 (plateau) of the myocyte action potential?,Ca2+ influx balanced by K+ efflux (mnemonic: 'plateau two').
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Myocyte AP,What produces phase 3 of the myocyte action potential?,K+ efflux.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Myocyte AP,What produces phase 4 (resting membrane potential) of the myocyte action potential?,Leaky K+ channels; resting membrane potential is about -85 mV.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Myocyte AP,"In cardiac myocyte ion movement, what is the simple rule to remember?",K+ always goes out of the cell; Na+ and Ca2+ always come into the cell.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Refractory Period,What is the effective refractory period (ERP)?,"The period during which a new propagated action potential cannot be generated, even if a strong stimulus is applied."
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Refractory Period,Why is the effective refractory period of cardiac muscle long?,It is long in order to prevent tetanization of the heart.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Conduction Speed,Rank the speed of electrical conduction through cardiac tissue from fastest to slowest.,His-Purkinje fibers > Atria > Ventricles > AV node (AVN is slowest).
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Conduction Speed,"Why is the AV node the slowest conducting tissue, and what is this delay responsible for?",It has the least number of gap junctions; this is responsible for the AV nodal delay.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Funny Current,"At what membrane potential does the funny current activate, and what does it initiate?","It activates near -60 mV and initiates phase 4 spontaneous depolarization, which is responsible for cardiac automaticity."
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Funny Current,What channels carry the funny current and what ions do they conduct?,"HCN channels (Hyperpolarization-activated Cyclic Nucleotide-gated channels), carrying a mixed inward current of Na+ and K+."
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Funny Current,Why is the funny current called 'funny'?,"Unlike most channels, it opens on hyperpolarization rather than depolarization."
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Drugs on Pacemaker AP,What is the 'ABCD' mnemonic for drugs that act on the pacemaker action potential for rate control?,"A = Acetylcholine, B = Beta blockers, C = Calcium channel blockers (non-DHP: Verapamil, Diltiazem), D = Digoxin."
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Drugs on Pacemaker AP,How does Acetylcholine affect the pacemaker action potential?,"It blocks the funny current, reducing firing of the SA and AV nodes."
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Drugs on Pacemaker AP,"How do Catecholamines affect the funny current, in contrast to Acetylcholine?","Catecholamines increase funny currents, causing increased firing of the SA and AV nodes."
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Drugs on Pacemaker AP,How do Beta blockers act on the pacemaker action potential?,They block the funny current and L-type calcium channels.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Drugs on Pacemaker AP,"How do non-DHP calcium channel blockers (Verapamil, Diltiazem) act on the pacemaker action potential?",They block L-type calcium channels.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Drugs on Pacemaker AP,How does Digoxin act on the pacemaker action potential?,It reduces SA nodal firing via vagal stimulation; it also has a positive inotropic effect.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Drugs on Pacemaker AP,"What is the overall effect of the ABCD drugs (Acetylcholine, Beta blockers, CCBs, Digoxin) on heart rhythm, and in which syndrome are they contraindicated?",They lower heart rate and prolong the PR interval; they are contraindicated in WPW syndrome.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Drugs on Pacemaker AP,"Which additional drug blocks the funny current and lowers heart rate, distinct from the ABCD drugs?",Ivabradine.
Cardiovascular System (CVS),Part-1: Action Potential & Pacemaker Physiology,Depolarization/Repolarization,"In what direction does cardiac depolarization spread, and in what direction does repolarization spread?",Depolarization spreads from Endocardium to Epicardium; repolarization spreads from Epicardium to Endocardium. Both electrical vectors point in roughly the same direction.
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 1 Overview,"What is the mechanism of Class 1 antiarrhythmics, and in what electrolyte condition must they be avoided?",They block Na+ channels; they must be avoided in hyperkalemia.
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 1A,"Which drugs belong to Class 1A, what is their mechanism on K+ channels, and what is the mnemonic?","Quinidine, Procainamide, Disopyramide; they are K+ channel blockers; mnemonic: 'Queen proclaimed Diso's pyramid'."
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 1A,What effect does Class 1A have on the QT interval and action potential duration (APD)?,QT prolongation; APD increases.
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 1B,"Which drugs belong to Class 1B, what is their mechanism on K+ channels, and what is their effect on QT/APD?","Lignocaine, Phenytoin; they are K+ channel openers; they shorten the QT interval and decrease APD."
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 1B,Class 1B drugs are the drug of choice (DOC) for which two arrhythmia types?,Ischemic arrhythmias and digitalis-induced arrhythmias.
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 1C,"Which drugs belong to Class 1C, and what is their action on K+ channels?","Propafenone, Flecainide; they have no action on K+ channels (QT unchanged)."
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 1C,In which two conditions are Class 1C drugs contraindicated?,Ischemic arrhythmias and digitalis-induced arrhythmias.
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 2,What is the mechanism and effect of Class 2 antiarrhythmics (Beta blockers)?,"They slow down phase 4 of the pacemaker action potential by blocking sympathetic stimulation, and reduce myocardial oxygen demand."
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 3,"Which drugs belong to Class 3, what is their mechanism, and in what electrolyte condition must they be avoided?","Amiodarone, Ibutilide, Dofetilide, Sotalol (mnemonic 'A.I.D.S'); they block K+ channels; must be avoided in hypokalemia. They cause QT prolongation with increased APD and QT."
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Amiodarone Side Effects,"What percentage of Amiodarone's structure is iodine, and what is notable about its half-life?",40% iodine; it has the longest half-life (T half) of the antiarrhythmics.
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Amiodarone Side Effects,"What is the mnemonic 'Please Check LFT/PFT/TFT' for monitoring Amiodarone toxicity, and what does each check for?","'Please' = Pigmentation (ceruloderma/'blue man'), Peripheral neuropathy, Photosensitivity, and Corneal deposits; 'Check LFT' = Hepatotoxicity; 'PFT' = Pulmonary fibrosis; 'TFT' = Thyrotoxic effects (can cause hypo- or hyperthyroidism)."
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 4,"What is the mechanism of Class 4 antiarrhythmics, and how do non-DHP vs DHP calcium channel blockers differ in use?","They block Ca2+ channels. Non-DHPs (Verapamil, Diltiazem) slow heart rate and force of contraction (used as antiarrhythmics); DHPs (e.g., Amlodipine) are used as antihypertensives instead."
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 5 - Adenosine,"Adenosine is the DOC for which arrhythmia, and what is the adult dosing regimen?","DOC for stable PSVT (given as a fast IV bolus); adult dose is 6 mg - 12 mg - 12 mg, with a maximum dose of 30 mg/day (per updated coreBTR reference)."
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 5 - Adenosine,"What is the pediatric dose of Adenosine, and what two substances inhibit its action?",Pediatric dose is 0.1 mg/kg; Adenosine's action is inhibited by Caffeine and Theophylline.
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 5 - Adenosine,"In a patient on Theophylline or Caffeine, how should the starting dose of Adenosine be adjusted (per BTR 2.0 handwritten notes)?","Start at 12 mg (a higher initial dose), instead of the usual 6 mg starting dose, since Theophylline/Caffeine inhibit Adenosine's action."
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 5 - Adenosine,What is the management for an unstable SVT?,Synchronized DC cardioversion.
Cardiovascular System (CVS),Part-2: Antiarrhythmic Drugs (Vaughan-Williams),Class 1 Subtype ECG Effects,"On the action potential slope-of-phase-0 diagrams, how do Class 1A, 1B, and 1C differ in effect on QT interval?",Class 1A: QT prolongation (increased APD/QT); Class 1B: QT shortening (decreased APD/QT); Class 1C: QT unchanged.
Cardiovascular System (CVS),"Part-3: ECG Basics (Intervals, Heart Rate, Axis Deviation)",Heart Rate Calculation,How is heart rate estimated from the number of large squares between QRS complexes on ECG?,Heart rate = 300 divided by the number of large squares between two consecutive R waves.
Cardiovascular System (CVS),"Part-3: ECG Basics (Intervals, Heart Rate, Axis Deviation)",Heart Rate Calculation,"Using the large-square method, what cutoffs indicate tachycardia and bradycardia?",Fewer than 3 large squares = tachycardia; more than 5 large squares = bradycardia (normal range corresponds to 60-100 bpm).
Cardiovascular System (CVS),"Part-3: ECG Basics (Intervals, Heart Rate, Axis Deviation)",Normal Intervals,"What are the normal durations of the PR interval, QRS complex, and QT interval (the '2-1-4' rule)?",PR interval = 0.2 seconds; QRS = 0.1 seconds; QT = 0.4 seconds.
Cardiovascular System (CVS),"Part-3: ECG Basics (Intervals, Heart Rate, Axis Deviation)",Corrected QT,"What formula is used to calculate the corrected QT interval (QTc), and what is it called?",Bazett's formula: QTc = QT / square root of the RR interval.
Cardiovascular System (CVS),"Part-3: ECG Basics (Intervals, Heart Rate, Axis Deviation)",Corrected QT,What QTc value is considered prolonged?,QTc greater than 440 ms is considered prolonged.
Cardiovascular System (CVS),"Part-3: ECG Basics (Intervals, Heart Rate, Axis Deviation)",P Wave Abnormalities,"What does a tall, peaked P wave indicate, and what is it called?",'P pulmonale' - indicates right atrial hypertrophy.
Cardiovascular System (CVS),"Part-3: ECG Basics (Intervals, Heart Rate, Axis Deviation)",P Wave Abnormalities,"What does a bifid (notched) P wave indicate, and what is it called?",'P mitrale' - indicates left atrial hypertrophy.
