subject,deck,topic,front,back
Anesthesia,Part-1,Airway Devices,In which type of patient is the Guedel oro-pharyngeal airway used?,An unconscious patient — it prevents the tongue from falling back and obstructing the airway.
Anesthesia,Part-1,Airway Devices,How do you size a Guedel oro-pharyngeal airway?,Measure from the angle of the mandible to the angle of the mouth.
Anesthesia,Part-1,Airway Devices,In which type of patient is a nasopharyngeal airway (NPA) used?,A conscious patient (it is better tolerated than an oral airway).
Anesthesia,Part-1,Airway Devices,How do you size a nasopharyngeal airway?,Measure from the tip of the nose to the ear lobule.
Anesthesia,Part-1,Airway Devices,What are the contraindications to a nasopharyngeal airway?,Base of skull fracture and coagulopathy.
Anesthesia,Part-1,Airway Devices,What does SAD stand for and what is it equivalent to?,Supraglottic Airway Device — this is essentially synonymous with an LMA (laryngeal mask airway).
Anesthesia,Part-1,Airway Devices,"What are the standard LMA sizes for child, female, and male patients?",Child: size 3; Female: size 4; Male: size 5.
Anesthesia,Part-1,Airway Devices,"Which generation of LMA is the Classic LMA, and what is another first-generation example?",Classic LMA is 1st generation; the AMBU Aura LMA is also a 1st generation LMA.
Anesthesia,Part-1,Airway Devices,"Which LMA is a 2nd generation device, and what additional feature does it have over 1st generation?",The Proseal LMA is 2nd generation — 2nd generation LMAs add a drain/gastric channel for better aspiration protection compared to 1st generation devices.
Anesthesia,Part-1,Airway Devices,What are the key features of the Supreme LMA?,It is single-use and made of PVC.
Anesthesia,Part-1,Airway Devices,Which LMA is considered 3rd generation?,The iGel LMA.
Anesthesia,Part-1,Airway Devices,What is the Fastrack LMA used for?,"It is an intubating LMA, designed to allow endotracheal intubation through it."
Anesthesia,Part-1,Airway Devices,What does SLIPA stand for?,Streamlined Liner of the Pharynx Airway — an alternative supraglottic device without an inflatable cuff.
Anesthesia,Part-1,Airway Devices,What are the two main advantages of the Baska mask?,"Excellent positive pressure ventilation, and superior gastric reflux/suction clearance."
Anesthesia,Part-2,Intubation Equipment,Which laryngoscope blade is typically used in adults and what is its shape?,"The Macintosh blade — a curved blade, used mainly in adults."
Anesthesia,Part-2,Intubation Equipment,Which laryngoscope blade is typically used in children and what is its shape?,"The Miller blade — a straight blade, used mainly in children."
Anesthesia,Part-2,Intubation Equipment,What is distinctive about the McCoy laryngoscope blade?,It has a levered (hinged) tip that can be flexed to improve the laryngoscopic view.
Anesthesia,Part-2,Intubation Equipment,What is the C-Mac and what type of device is it?,"The C-Mac is a video laryngoscope, used to improve visualization of the airway during intubation."
Anesthesia,Part-2,Intubation Equipment,What are the main structural parts of an endotracheal (ET) tube?,"Cuff, Murphy eye (alternate opening near the tip), pilot balloon with spring-loaded one-way valve, radiopaque line, depth markings, vocal cord guide marking, and 14–15mm connector/adaptor."
Anesthesia,Part-2,Intubation Equipment,"According to Poiseuille's law, how does resistance relate to airway/tube radius?",Resistance is inversely proportional to the radius to the 4th power (R ∝ 1/r⁴) — small reductions in radius cause large increases in resistance.
Anesthesia,Part-2,Intubation Equipment,What type of cuff should an endotracheal tube have?,"Low-pressure, high-volume cuff."
Anesthesia,Part-2,Intubation Equipment,"In pediatric patients, is a microcuffed or uncuffed ET tube preferred?",Microcuffed tubes are now generally preferred over uncuffed tubes in children.
Anesthesia,Part-2,Intubation Equipment,What size uncuffed ET tube is used for a preterm neonate weighing less than 1200g (<28 weeks)?,Size 2.5.
Anesthesia,Part-2,Intubation Equipment,What size ET tube is used for a neonate weighing 1200–2200g (29–34 weeks)?,Size 3.
Anesthesia,Part-2,Intubation Equipment,What size ET tube is used for a neonate weighing more than 2200g (>34 weeks)?,Size 3.5.
Anesthesia,Part-2,Intubation Equipment,"What ET tube size range is typically used in children, and what sizes are used for adult females and males?",Children: 3–4; Adult female: size 7; Adult male: size 8.
Anesthesia,Part-2,Intubation Equipment,What is the formula for uncuffed ET tube size based on age?,ET tube size (mm) = 4 + (age in years / 4).
Anesthesia,Part-2,Intubation Equipment,What is the formula for how deep an ET tube should be inserted (depth at the lips/teeth)?,ET tube depth (cm) = 3 × ET tube internal diameter (size).
