subject,deck,topic,front,back
Hematology,Part-1,Hematopoietic Cell Lines,What is the surface marker of the multipotent hematopoietic stem cell?,CD-34
Hematology,Part-1,Hematopoietic Cell Lines,What are the two main lineages arising from the multipotent hematopoietic stem cell?,Myeloid stem cell and lymphoid stem cell
Hematology,Part-1,Hematopoietic Cell Lines,What is the surface marker of the erythroblast and its PAS staining pattern?,CD-71; shows diffuse PAS positivity
Hematology,Part-1,Hematopoietic Cell Lines,What is a reticulocyte and what is its lifespan relevance?,An immature RBC containing residual RNA; it matures into the erythrocyte
Hematology,Part-1,Hematopoietic Cell Lines,What is the lifespan of a mature erythrocyte?,120 days
Hematology,Part-1,Hematopoietic Cell Lines,What are the surface markers of the megakaryoblast?,"CD-41, 42, 61"
Hematology,Part-1,Hematopoietic Cell Lines,What are the key features of platelets derived from megakaryocytes?,"No nucleus (radio-resistant), lifespan of 8 days, contain dense and alpha granules"
Hematology,Part-1,Hematopoietic Cell Lines,What is the mnemonic for dense (delta) granule contents in platelets?,"CASH: Calcium, ADP, Serotonin, Histamine"
Hematology,Part-1,Hematopoietic Cell Lines,Which condition is associated with absent dense granules in platelets?,Hermansky–Pudlak syndrome
Hematology,Part-1,Hematopoietic Cell Lines,What do platelet alpha granules contain?,"Fibrinogen, fibronectin, Von Willebrand factor, and Platelet factor 4 (PF4)"
Hematology,Part-1,Hematopoietic Cell Lines,What condition results from antibodies against platelet factor 4 (PF4)?,Heparin-induced thrombocytopenia (HIT)
Hematology,Part-1,Hematopoietic Cell Lines,Which condition is associated with absent alpha granules in platelets?,Gray platelet syndrome
Hematology,Part-1,Hematopoietic Cell Lines,What are the surface markers of the myeloblast?,"CD-13, 33, 117"
Hematology,Part-1,Hematopoietic Cell Lines,What are the three causes of increased neutrophils listed?,"Infection, sepsis, and leukemia (CML)"
Hematology,Part-1,Hematopoietic Cell Lines,In what two situations are eosinophils typically increased?,Parasitic infections and atopic disorders
Hematology,Part-1,Hematopoietic Cell Lines,In which condition are basophils characteristically increased?,Chronic myeloid leukemia (CML)
Hematology,Part-1,Hematopoietic Cell Lines,What are the surface markers of the monoblast and its cytochemical stain?,"CD-14, 64; stains positive with NSE (non-specific esterase)"
Hematology,Part-1,Hematopoietic Cell Lines,What are the distinguishing features of a monocyte?,Largest circulating WBC with a kidney-shaped nucleus
Hematology,Part-1,Hematopoietic Cell Lines,"Match the tissue macrophage to its organ: skin, liver, brain, bone.",Skin – Langerhans cells; Liver – Kupffer cells; Brain – Microglia; Bone – Osteoclasts
Hematology,Part-1,Hematopoietic Cell Lines,What markers/stains characterize the lymphoblast?,"TdT positive, CALLA (CD-10) positive, and PAS positive with a dot/blot pattern"
Hematology,Part-1,Hematopoietic Cell Lines,What are the distinguishing features of a lymphocyte among WBCs?,"Smallest WBC, highest nucleus:cytoplasm ratio, and the most radiosensitive blood cell"
Hematology,Part-1,Hematopoietic Cell Lines,What is the function and CD marker profile of B cells?,"Mediate humoral immunity and act as antigen presenting cells (APC); CD-19, PAX5"
Hematology,Part-1,Hematopoietic Cell Lines,What are the surface markers and morphologic features of plasma cells?,"CD-38, 138; clock-face chromatin and a perinuclear Golgi hof"
Hematology,Part-1,Hematopoietic Cell Lines,Which drug targets CD38 on plasma cells and in what disease is it used?,Daratumumab (anti-CD38); used in multiple myeloma
Hematology,Part-1,Hematopoietic Cell Lines,What is the function and pan marker of T cells?,Mediate cell-mediated immunity; pan T cell marker is CD-3
Hematology,Part-1,Hematopoietic Cell Lines,What is the marker of helper T cells and which MHC/cells do they interact with?,"CD-4; interacts with MHC II found on B cells, macrophages, and dendritic cells"
Hematology,Part-1,Hematopoietic Cell Lines,What is the marker of cytotoxic T cells and which MHC do they interact with?,"CD-8; interacts with MHC I, present on all nucleated cells except sperm and RBCs"
Hematology,Part-1,Hematopoietic Cell Lines,What are the markers of NK cells and their mechanism of killing?,"CD-16, 56, 94; destroy cells lacking MHC I (tumor/viral infected cells) via the perforin-granzyme mechanism, inducing apoptosis"
Hematology,Part-2,Diagnostic Techniques,What is another name for flow cytometry and what does it detect?,Immunophenotyping; used to detect CD markers in leukemias/lymphomas
Hematology,Part-2,Diagnostic Techniques,What are the two types of output from flow cytometry?,Scatter plot and histogram
Hematology,Part-2,Diagnostic Techniques,What is the difference between a scatter plot and a histogram in flow cytometry?,A scatter plot shows two CD markers simultaneously; a histogram shows only one CD marker
Hematology,Part-2,Diagnostic Techniques,Which cytochemical stain is used for lymphoblasts versus erythroblasts and what pattern does each show?,PAS stain: block/dot pattern in lymphoblasts and diffuse pattern in erythroblasts
Hematology,Part-2,Diagnostic Techniques,Which cytochemical stain is specific for myeloblasts?,MPO (myeloperoxidase)
Hematology,Part-2,Diagnostic Techniques,Which cytochemical stain is specific for monoblasts and monocytes?,NSE (non-specific esterase)
Hematology,Part-2,Diagnostic Techniques,Which technique detects chromosomal abnormalities/translocations in leukemias?,Fluorescence in situ hybridization (FISH)
Hematology,Part-2,Diagnostic Techniques,Complete the important CD marker list: blasts and T cells.,Blasts – CD-34; T cells – CD-3
Hematology,Part-2,Diagnostic Techniques,Complete the important CD marker list: B cells and helper T cells.,B cells – CD-19/CD-20/PAX5; Helper T cells – CD-4
Hematology,Part-2,Diagnostic Techniques,Complete the important CD marker list: cytotoxic T cells and NK cells.,Cytotoxic T cells – CD-8; NK cells – CD-16/CD-56/CD-94
Hematology,Part-2,Diagnostic Techniques,Complete the important CD marker list: myeloblast and monoblast.,Myeloblast – CD-13/CD-33/CD-117; Monoblast – CD-14/CD-64
Hematology,Part-2,Diagnostic Techniques,Complete the important CD marker list: megakaryocyte and plasma cell.,"Megakaryocyte – CD-41,42/CD-61; Plasma cell – CD-38/CD-138"
Hematology,Part-2,Diagnostic Techniques,What markers characterize the lymphoblast and what does CALLA stand for?,TdT/CD10; CALLA stands for Common ALL Antigen
Hematology,Part-2,Diagnostic Techniques,"On a WBC scatter plot (FSC vs SSC), how do lymphocytes appear?",Small cells with few granules – low FSC and low SSC
Hematology,Part-2,Diagnostic Techniques,"On a WBC scatter plot (FSC vs SSC), how do monocytes appear?",Larger cells with moderate complexity (intermediate FSC/SSC)
Hematology,Part-2,Diagnostic Techniques,"On a WBC scatter plot (FSC vs SSC), how do granulocytes appear?",Cells with many cytoplasmic granules – high SSC
Hematology,Part-2,Diagnostic Techniques,"In the example flow cytometry scatter plots shown, what four double-marker combinations are illustrated?",A: CD22 and TdT positive; B: CD19 and CD10 positive; C: CD34 and CD64 positive; D: CD33 and CD15 positive
Hematology,Part-2,Diagnostic Techniques,Which specific CD marker is used as the example for a flow cytometry histogram in the notes?,CD45 (illustrating that a histogram displays only one CD marker at a time)
Hematology,Part-3,RBC Basics,What is the sequence of erythroid maturation from stem cell to mature RBC?,Pluripotent hematopoietic stem cell → Proerythroblast (pronormoblast) → Erythroblast (normoblast) → Reticulocyte → Erythrocyte
Hematology,Part-3,RBC Basics,What organelle changes occur during erythroid maturation?,"The erythroblast loses its nucleus and some organelles, and the reticulocyte loses its remaining organelles to become an erythrocyte"
Hematology,Part-3,RBC Basics,How long does a reticulocyte typically spend in the marrow versus blood before becoming an erythrocyte?,Usually 3 days in the marrow and 1 day in the blood
Hematology,Part-3,RBC Basics,What percentage of circulating RBCs are normally reticulocytes?,About 1%
Hematology,Part-3,RBC Basics,What are the three stages of erythroblasts in order once hemoglobin synthesis starts?,Basophilic erythroblast → Polychromatophilic erythroblast → Orthochromatic erythroblast (early → intermediate → late)
Hematology,Part-3,RBC Basics,Which is the first cell to show hemoglobin on electron microscopy?,Pro-erythroblast
Hematology,Part-3,RBC Basics,Which is the first cell to show hemoglobin on light microscopy?,Polychromatophilic erythroblast
Hematology,Part-3,RBC Basics,Which is the first erythroid cell to enter peripheral circulation?,The reticulocyte
Hematology,Part-3,RBC Basics,Why are reticulocytes named as such and what stain is used to visualize them?,They contain a reticulum of RNA; visualized using a supravital stain (e.g. Brilliant Cresyl Blue) which also stains ribosomes
Hematology,Part-3,RBC Basics,What is the normal reticulocyte percentage and when is it increased?,Normal is 0.5–1.5%; increased in hemolytic anemias
Hematology,Part-3,RBC Basics,What is the formula for corrected reticulocyte count?,Corrected retic count = Retic count × (Patient's Hematocrit ÷ 45)
Hematology,Part-3,RBC Basics,What is the formula for Reticulocyte Production Index (RPI)?,RPI = Corrected Retic Count ÷ Maturation Factor
Hematology,Part-3,RBC Basics,What maturation factor is used for a hematocrit of 40% or more?,1
Hematology,Part-3,RBC Basics,What maturation factor is used for a hematocrit of 30–39.9%?,1.5
Hematology,Part-3,RBC Basics,What maturation factor is used for a hematocrit of 20–29.9%?,2
Hematology,Part-3,RBC Basics,What maturation factor is used for a hematocrit below 20%?,2.5
Hematology,Part-3,RBC Basics,What does an RPI less than 2 indicate?,Inadequate bone marrow response
Hematology,Part-3,RBC Basics,What is the preferred bone marrow aspiration/biopsy site in an adult versus a child?,Adult – Posterior superior iliac spine (PSIS); Child – Tibia
Hematology,Part-3,RBC Basics,Is thrombocytopenia a contraindication for bone marrow aspiration/biopsy?,"No, it is not a contraindication; however if platelet count is under 20,000/µL, platelet transfusion is recommended before the procedure to reduce bleeding risk"
Hematology,Part-3,RBC Basics,What are the names of the needles used for bone marrow aspiration and core biopsy?,Salah's needle and Klima's needle for aspiration; Jamshedi's needle for core biopsy
Hematology,Part-3,RBC Basics,At what gestational age does the yolk sac serve as the site of erythropoiesis?,3–6 weeks (primitive hematopoiesis)
Hematology,Part-3,RBC Basics,At what gestational age does the liver become the main hematopoietic site?,From 6 weeks onward
Hematology,Part-3,RBC Basics,At what gestational age does the spleen begin contributing to hematopoiesis?,From 9 weeks onward
Hematology,Part-3,RBC Basics,At what gestational age does bone marrow become the major hematopoietic site?,"From 18–20 weeks onward, and it continues after birth"
Hematology,Part-3,RBC Basics,Which organ is the main fetal hematopoietic organ until late gestation and which one dominates after birth?,Liver is the main fetal hematopoietic organ until late gestation; bone marrow fully dominates after birth
Hematology,Part-3,RBC Basics,Describe the temporal pattern of the alpha hemoglobin chain across life.,Alpha chain is present throughout life (always)
Hematology,Part-3,RBC Basics,Describe the temporal pattern of the gamma hemoglobin chain across life.,Gamma chain predominates in fetal hemoglobin and disappears (goes away) in adults
Hematology,Part-3,RBC Basics,Describe the temporal pattern of the beta hemoglobin chain across life.,Beta chain increases after birth
Hematology,Part-3,RBC Basics,What is the composition and normal adult percentage of HbA1?,α2β2; 95–98%
Hematology,Part-3,RBC Basics,What is the composition and normal adult percentage of HbA2?,α2δ2; 2–3%
Hematology,Part-3,RBC Basics,What is the composition and normal adult percentage of HbF?,α2γ2; less than 1% in adults
Hematology,Part-3,RBC Basics,What are the HbF and HbA2 findings in beta-thalassemia minor?,Mild increase in HbF; HbA2 greater than 3.5%
Hematology,Part-3,RBC Basics,What are the HbF and HbA findings in beta-thalassemia major?,Markedly high HbF; very low or absent HbA
Hematology,Part-4,WBC Basics,What is the full maturation sequence of the neutrophil lineage from blast to mature cell?,Myeloblast → Promyelocyte → Myelocyte → Metamyelocyte → Band/stab form → Mature neutrophil
Hematology,Part-4,WBC Basics,What characteristic feature is seen in the promyelocyte stage and in which leukemia is it increased?,Auer rods are seen; increased in Acute Promyelocytic Leukemia (APML)
Hematology,Part-4,WBC Basics,What is the nuclear shape of the myelocyte stage?,D-shaped nucleus
Hematology,Part-4,WBC Basics,What is the nuclear shape of the metamyelocyte stage and what mnemonic describes it?,"Kidney-shaped nucleus, referred to as ""meta-nephrons"""
