subject,deck,topic,front,back
Biochemistry,Biochem-P1,Substrates,What substrate does LIVER use in FED state (2hr)?,Glucose
Biochemistry,Biochem-P1,Substrates,What substrate does LIVER use in FASTING (12-18hr)?,Fatty Acids
Biochemistry,Biochem-P1,Substrates,What substrate does LIVER use in STARVATION (1-3d)?,Amino acids
Biochemistry,Biochem-P1,Substrates,What substrate does MUSCLE use in FED state?,Glucose
Biochemistry,Biochem-P1,Substrates,What substrate does MUSCLE use in FASTING?,Fatty Acids
Biochemistry,Biochem-P1,Substrates,What substrate does MUSCLE use in STARVATION?,Ketone Bodies
Biochemistry,Biochem-P1,Substrates,What substrate does ADIPOSE use in FED state?,Glucose
Biochemistry,Biochem-P1,Substrates,What substrate does ADIPOSE use in FASTING?,Fatty Acids
Biochemistry,Biochem-P1,Substrates,What substrate does ADIPOSE use in STARVATION?,Fatty Acids
Biochemistry,Biochem-P1,Substrates,What substrate does BRAIN use in FED state?,Glucose
Biochemistry,Biochem-P1,Substrates,What substrate does BRAIN use in FASTING?,Glucose — crosses BBB
Biochemistry,Biochem-P1,Substrates,What substrate does BRAIN use in STARVATION?,Ketone Bodies
Biochemistry,Biochem-P1,Substrates,What substrate do RBCs use in ALL states (Fed/Fasting/Starvation)?,Glucose — always
Biochemistry,Biochem-P1,Substrates,What substrate does HEART use in FED state?,Fatty Acids
Biochemistry,Biochem-P1,Substrates,What substrate does HEART use in FASTING?,Fatty Acids
Biochemistry,Biochem-P1,Substrates,What substrate does HEART use in STARVATION?,Ketone Bodies
Biochemistry,Biochem-P1,Substrates,What 2 processes occur at the top of the fasting column?,Glycogenolysis → Gluconeogenesis
Biochemistry,Biochem-P1,Substrates,Which ketone body forms FIRST?,Acetoacetate
Biochemistry,Biochem-P1,Substrates,Which ketone body is the MAIN/most common?,β-Hydroxybutyrate
Biochemistry,Biochem-P1,Substrates,Which ketone body causes fruity odour?,Acetone
Biochemistry,Biochem-P1,Substrates,Which enzyme is COMMON to both KB synthesis AND breakdown?,Thiolase
