subject,deck,topic,front,back
Radiology,Part-1,General Radiology - Basics,"On an X-ray, what does black versus white indicate?",Black = lucent; White = opaque.
Radiology,Part-1,General Radiology - Basics,"On CT, MRI and USG, what do black versus white indicate?",Black = hypo (hypodense/hypointense/hypoechoic); White = hyper (hyperdense/hyperintense/hyperechoic).
Radiology,Part-1,Hounsfield Units,Hounsfield value of air on CT?,-1000 HU
Radiology,Part-1,Hounsfield Units,Hounsfield value of fat on CT?,-10 to -100 HU
Radiology,Part-1,Hounsfield Units,Hounsfield value of distilled water / a cyst on CT?,0 HU
Radiology,Part-1,Hounsfield Units,Hounsfield value of soft tissue on CT?,20-30 HU
Radiology,Part-1,Hounsfield Units,Hounsfield value of acute hemorrhage on CT?,60-90 HU
Radiology,Part-1,Hounsfield Units,Hounsfield value of iodinated contrast on CT?,100-300 HU
Radiology,Part-1,Hounsfield Units,Hounsfield value of bone (Ca2+) on CT?,1000 HU
Radiology,Part-1,X-ray vs CT,Does X-ray use ionising radiation?,Yes - X-ray uses ionising radiation.
Radiology,Part-1,X-ray vs CT,"On a plain X-ray, how do air and bone appear?",Air = black; Bone = white.
Radiology,Part-1,X-ray vs CT,"A chest X-ray is taken in which view, and why not the usual AP view?",Taken in PA view - so that the heart does not look enlarged (to reduce apparent cardiomegaly). (All other X-rays are usually taken AP.)
Radiology,Part-1,X-ray vs CT,"On a chest X-ray, how do the lungs differ between inspiratory and expiratory views?",Lungs are larger in the inspiratory view; the expiratory view is taken in the erect position. (Area of focus is the lungs.)
Radiology,Part-1,X-ray vs CT,"On NCCT, how do bone and air appear?",Bone = white; Air = black.
Radiology,Part-1,X-ray vs CT,What does CECT use and what is its purpose?,Uses iodinated contrast - to compare vessel with muscle.
Radiology,Part-1,X-ray vs CT,What are the uses of HRCT?,"Lung parenchyma (pneumonia, Covid-19, bronchiectasis, ILD); and PNS / temporal bone."
Radiology,Part-1,CT - Hyperdense Lesions,"On CT, what do black, white and contrast represent?",Black = hypodense; White = hyperdense; Contrast = iodinated (hyperdense).
Radiology,Part-1,CT - Hyperdense Lesions,State the relationship of CT pitch to image quality and dose.,Pitch is proportional to 1/quality and to 1/dose (Pitch ∝ 1/quality ∝ 1/dose).
Radiology,Part-1,CT - Hyperdense Lesions,How does calcification appear on CT and what is its IOC?,Hyperdense; IOC = intracranial calcification.
Radiology,Part-1,CT - Hyperdense Lesions,How do calculi appear on CT - and which calculus is the exception?,"Calculi are hyperdense, EXCEPT gallstones (IOC = USG) - because gallstones are made of cholesterol and are not radiopaque."
Radiology,Part-1,CT - Hyperdense Lesions,"How does bone cortex/fracture appear on CT, and which fracture is the exception?","Hyperdense; fracture IOC = CT, EXCEPT stress fracture (IOC = MRI) - which has no cortical discontinuity, only bone marrow edema."
Radiology,Part-1,CT - Hyperdense Lesions,"How does acute hemorrhage appear on CT, and what are its imaging roles?",Hyperdense; IOC for head trauma; initial investigation in stroke.
Radiology,Part-1,CT - Hyperdense Lesions,How does a metallic foreign body appear on CT and what artifact does it cause?,Hyperdense; causes a streak artifact due to metal (whiter than the bone).
Radiology,Part-1,CT - Hyperdense Lesions,Causes of intracranial calcification: periventricular vs parenchymal?,Periventricular = CMV; Parenchymal = Toxoplasmosis.
Radiology,Part-1,CT - Hyperdense Lesions,Where is calcification seen in congenital Zika virus infection?,At the grey-white matter junction.
Radiology,Part-1,CT - Hyperdense Lesions,What is the IOC for osteoid osteoma?,NCCT.
Radiology,Part-1,Approach to Foreign Body,"On X-ray, how does an esophageal foreign body (e.g. coin) orient compared with a tracheal one?",Esophageal FB faces en face / coronal (round/coin-on view); tracheal FB lies sagittal (seen on its side/edge-on).
Radiology,Part-1,Approach to Foreign Body,What X-ray sign indicates a button battery lodged in the esophagus?,Double ring / halo sign.
Radiology,Part-1,Approach to Foreign Body,"For a foreign body: initial investigation, IOC, and contraindicated modality?",Initial investigation = X-ray; IOC = CT; Contraindicated = MRI.
Radiology,Part-1,MRI - Principles,"Key features of MRI (resolution, bone cortex, radiation, basis)?",Best resolution; bone cortex appears black; no radiation; uses nuclear magnetic resonance.
Radiology,Part-1,MRI - Principles,"Briefly, how does MRI form an image from H+ ions?","H+ ions spin on their own axis generating magnetic energy, but have no net magnetic vector (all in opposite directions). MRI aligns these fields in one direction; when the field is removed they resonate with the outer magnetic field, forming the image."
Radiology,Part-1,MRI - Principles,What is the unit of magnetic field strength in MRI?,Tesla.
Radiology,Part-1,MRI - Principles,MRI is based on which property of protons?,Gyromagnetic property of protons.
Radiology,Part-1,MRI - Principles,What field strength is routinely used in MRI?,1.5 Tesla.
Radiology,Part-1,MRI - Principles,What is the copper shielding of an MRI room called?,Faraday cage (continuous sheet or wire mesh of copper).
Radiology,Part-1,MRI Sequences - T1/T2/FLAIR/STIR,"On T1W MRI, how do grey matter, white matter, CSF and scalp fat appear?",Grey matter = grey (darker); White matter = white; CSF = black; Scalp fat = white.
Radiology,Part-1,MRI Sequences - T1/T2/FLAIR/STIR,"On T2W MRI, how do CSF, grey matter and scalp fat appear?",CSF = white; Grey matter = white; Scalp fat = white.
Radiology,Part-1,MRI Sequences - T1/T2/FLAIR/STIR,What does FLAIR stand for and how do grey/white matter and CSF appear?,Fluid Attenuated Inversion Recovery. White matter = grey; Grey matter = white; it is a T2W image but CSF is made black.
Radiology,Part-1,MRI Sequences - T1/T2/FLAIR/STIR,Why is CSF made black on FLAIR?,"Edema in the brain is bright (white); in Multiple Sclerosis these lesions would merge with the bright CSF ventricles and be missed, so CSF is suppressed (made black)."
Radiology,Part-1,MRI Sequences - T1/T2/FLAIR/STIR,What does STIR stand for and what is its principle?,"Short Tau Inversion Recovery; it is a T2 sequence with fat suppression. On T2 both bone marrow edema and fat are hyperintense, so fat is suppressed - only edema stays white."
Radiology,Part-1,MRI Sequences - T1/T2/FLAIR/STIR,STIR is the best Ix for which conditions?,"Bone marrow edema, stress fracture, osteomyelitis, sacroiliitis."
Radiology,Part-1,MRI Sequences - SWI/DWI/DTI,What does SWI stand for and what is it the IOC for?,Susceptibility Weighted Imaging; IOC for DAI (diffuse axonal injury).
Radiology,Part-1,MRI Sequences - SWI/DWI/DTI,What does DWI stand for and what are its features?,"Diffusion Weighted Imaging; no fat, no bone, only brain is seen; most sensitive Ix to pick up stroke/ischemia; restricted diffusion appears hyperintense."
Radiology,Part-1,MRI Sequences - SWI/DWI/DTI,What does DTI stand for and how is it color coded by direction?,"Diffusion Tensor Imaging; color coded by direction - A-P = green, R-L = red, S-I = blue. Used to see a tumor disrupting white matter."
Radiology,Part-1,Thumb Rules - MRI,"IOC for tumors of CNS, spine and nerves - and the exception?","IOC = MRI; except during an emergency, when IOC = NCCT."
Radiology,Part-1,Thumb Rules - MRI,"Which sequence is used for bone marrow edema, and in what conditions?","STIR sequence - for stress fracture, sacroiliitis, acute osteomyelitis."
Radiology,Part-1,Thumb Rules - MRI,"Preferred modality for ligaments, cartilage and soft tissue - and is a breast implant a contraindication?",MRI; a breast implant is NOT a contraindication to MRI.
Radiology,Part-1,Thumb Rules - MRI,"In Pancoast tumor, why is MRI the IOC (vs other lung tumors)?","Because the brachial plexus is affected, so IOC = MRI. For other lung tumors, IOC = CT."
Radiology,Part-1,Thumb Rules - MRI,What is time-of-flight angiography and when is it useful?,"A non-invasive, non-contrasted enhanced MR-angiography; useful in patients with renal failure where contrast is contraindicated."
