subject,deck,topic,front,back
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Definitions,Which skin layer is involved in an abrasion?,Only the superficial layer — the epidermis.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Definitions,A bruise is bleeding into which structure?,The skin.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Definitions,A contusion is bleeding into which structure?,An organ.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Definitions,Which force produces a laceration?,Blunt force.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Definitions,"Incision: which dimension is greatest, and what force causes it?",Length is greatest (length > depth); caused by a sharp-edged weapon.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Definitions,"Stab wound: which dimension is greatest, and what force causes it?",Depth is greatest (depth > length); caused by a sharp/pointed weapon.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Definitions,What weapon typically causes a chop wound?,A heavy cutting weapon such as an axe.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Definitions,Arrange the injury types by increasing depth (per the depth axis).,"Abrasion is most superficial; depth increases through bruise, contusion, laceration, incision, stab and chop."
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Incision vs Laceration,How do the margins of an incision differ from a laceration?,Incision has regular (clean) margins; laceration has irregular margins.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Incision vs Laceration,Which features are present in a laceration but absent in an incision?,Tissue bridges and bruising of the margins.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Abrasion,What is the most common type of abrasion?,Graze / gravel-burn abrasion.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Abrasion,What is a pressure (imprint) abrasion?,An abrasion that reproduces the pattern of the object pressed against the skin.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Bruise,Battle sign indicates which fracture?,Middle cranial fossa fracture.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Bruise,Battle sign is an example of which category of bruise?,An ectopic bruise.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Bruise,Six-penny (multiple small) bruises suggest what?,Non-accidental injury (NAI / child abuse).
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Bruise,List features that point to NAI rather than osteogenesis imperfecta.,"Multiple fractures of different ages, retinal haemorrhage, subdural haematoma, and metaphyseal corner fractures."
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Bruise,A tram-track (two parallel-line) bruise is caused by what?,A lathi (rod/stick).
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Artificial bruise,What two features are present in an artificial bruise?,Vesicles and pruritus.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Artificial bruise,What two features characterise a true bruise?,Colour change and a vital reaction.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Artificial bruise,Vesicles and pruritus are absent in which two conditions?,A true bruise and secondary (2°) syphilis.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Artificial bruise,Which substance is used to produce an artificial bruise?,Semecarpus / Bhilawanol (marking-nut juice).
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of abrasion,What is the colour sequence of a healing abrasion (RRRBBB)?,"Raw/red, then reddish-brown, then brown, then black (scab)."
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of abrasion,How is the direction of an abrasion determined?,By the heaping-up of epithelium at the terminal end.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of abrasion,Does an abrasion show a vital reaction?,Yes — it shows a positive vital reaction.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of abrasion,What do the positive and negative zones of an abrasion reflect?,Differing activity in the injured area due to increased enzymatic action.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of contusion,What is the colour sequence of a contusion with age (RVIBGYO)?,"Red, blue, brown, green, yellow, then original colour."
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of contusion,Contusion: red (initial) colour is due to which pigment?,Oxyhaemoglobin.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of contusion,Contusion: blue (few hours–3 days) colour is due to which pigment?,Deoxyhaemoglobin.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of contusion,Contusion: brown (4th day) colour is due to which pigment?,Siderin (haemosiderin).
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of contusion,Contusion: green (5–6 days) colour is due to which pigment?,Biliverdin.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of contusion,Contusion: yellow (7–12 days) colour is due to which pigment?,Bilirubin.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of contusion,By when does a contusion return to original colour?,By about 2 weeks.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of contusion,Multiple bruises of different ages indicate what?,Non-accidental injury (child abuse).
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Age of contusion,Which bruise shows no colour change with time?,Subconjunctival haemorrhage.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Livor vs contusion,Which is dependent — livor mortis or contusion?,Livor mortis.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Livor vs contusion,Which is well-defined — livor mortis or contusion?,Livor mortis.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Livor vs contusion,Which blanches on pressure?,Livor mortis (a contusion does not blanch).
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Livor vs contusion,Extravasation of blood is a feature of which?,Contusion.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Livor vs contusion,Progressive colour change is a feature of which?,Contusion.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Incised wound,An incised wound is deeper at which end?,At the beginning (head of the wound).
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Incised wound,"At the tail end of an incised wound, which layer alone is cut?",Only the epidermis (tailing).
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Wound tails,What is the tail shape of a laceration?,Sparrow tail.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Wound tails,What is the tail shape of a stab wound?,Fish tail.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Clots,List the features of an antemortem clot.,"Firm and dark red, striae of Zahn, and coralline (platelet) thrombus."
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Clots,Which clot is postmortem?,Chicken-fat clot.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Special,Harakiri (Seppuku) causes death by what mechanism?,Circulatory failure.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Special,Jigai involves injury to which vessel?,The internal jugular vein.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Site effects,Where does an incised-looking laceration occur?,Over bony prominences.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Site effects,Where does a laceration-looking incised wound occur?,"At sites with abundant soft tissue (e.g., scrotum, axilla)."
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Manner,Defence cuts indicate which manner of injury?,Homicide.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Manner,Hesitation cuts indicate which manner of injury?,Suicide.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Burns,Filigree / arborescent (Lichtenberg flower) burns are seen in what?,Lightning.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Burns,Crocodile (flash) burns are seen with what?,High-voltage electrical injury.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Electrical injury,Is AC or DC more dangerous?,AC.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Electrical injury,Most important factor determining death in electrocution?,Amperage (current).
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Electrical injury,Most common cause of death in electrocution?,Arrhythmia.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Electrical injury,Rigor mortis onset in electrocution?,Early.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Electrical injury,Crush injury in electrocution leads to what?,Rhabdomyolysis.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Burns,Joule burn is associated with which voltage?,Low voltage.
Forensic Medicine & Toxicology,Part-1 Types of Injuries,Burns,State the Parkland fluid formula.,4 mL/kg per % body surface area burned.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Heat effects,What causes pugilistic / boxer's attitude (heat stiffening)?,Coagulation of proteins by heat (>65°C).
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Heat effects,At what temperature does protein coagulation occur?,Above 65°C.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Heat rupture,How is a heat rupture distinguished from a true laceration?,"No bleeding, with nerves and vessels remaining intact (no vital reaction)."
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Heat haematoma,Describe the appearance and distribution of a heat haematoma.,"Extradural, with a honeycomb appearance; bilateral and diffuse."
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Ulcers,Wishnewsky ulcer is associated with what?,Hypothermia.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Hypothermia,Which behaviour is seen in hypothermia (hide-and-die)?,Paradoxical undressing.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Ulcers,Curling ulcer is associated with what?,Burns.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Ulcers,Cushing ulcer is associated with what?,Head injury (raised intracranial pressure).
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Ulcers,Cameron ulcer is associated with what?,Sliding hiatal hernia.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Burn types,Features of dry-heat burns?,"Charring, singeing, and blackening."
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Burn types,Features of moist-heat burns (scald)?,"Blisters, splash marks, and a line of redness."
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Burn types,Features of chemical burns?,Ulcers and distinct colouration.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Heat illness,Heat cramps are caused by what?,Electrolyte loss.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Heat illness,Heat exhaustion is caused by what?,Fluid plus electrolyte loss leading to dehydration.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Heat illness,State the criteria for heat stroke.,Core temperature >40.5°C with a heat stressor and neurological dysfunction.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Heat illness,Sweating in classical heat stroke?,Absent.
Forensic Medicine & Toxicology,Part-2 Thermal Injuries,Heat illness,Sweating in exertional heat stroke?,Present.
Forensic Medicine & Toxicology,Part-3 RTA & Blast Injuries,RTA,Describe the mechanism of whiplash injury.,Hyperflexion followed by hyperextension of the cervical spine.
Forensic Medicine & Toxicology,Part-3 RTA & Blast Injuries,RTA,Steering-wheel impact produces what?,A patterned bruise.
Forensic Medicine & Toxicology,Part-3 RTA & Blast Injuries,RTA,List dashboard/pelvic injuries in an RTA.,"Posterior dislocation of the hip, PCL injury, and patella fracture."
Forensic Medicine & Toxicology,Part-3 RTA & Blast Injuries,RTA,Sparrow's-foot marks are associated with what (per these notes)?,Blast injury.
Forensic Medicine & Toxicology,Part-3 RTA & Blast Injuries,RTA,Describe the appearance of aortic tears in RTA.,'Ladder-rung' / transverse tears.
Forensic Medicine & Toxicology,Part-3 RTA & Blast Injuries,RTA,Within how many days is death attributed to an RTA?,About 30 days.
Forensic Medicine & Toxicology,Part-3 RTA & Blast Injuries,Blast,"Primary blast injury affects which organs, in order?",Tympanic membrane > lung > colon (tympanic membrane most commonly).
Forensic Medicine & Toxicology,Part-3 RTA & Blast Injuries,Blast,List secondary blast injuries.,"Abrasion, contusion, laceration and ACL injury (fractures are absent)."
Forensic Medicine & Toxicology,Part-3 RTA & Blast Injuries,Blast,List tertiary blast injuries.,"Head injury, cervical-spine injury and fractures."
Forensic Medicine & Toxicology,Part-4 Skull Fractures,Types,Most common type of skull fracture?,Linear / fissured fracture.
Forensic Medicine & Toxicology,Part-4 Skull Fractures,Types,How is a skull fracture differentiated from a suture line?,Sutures show serrations and cortical margins; fractures do not.
Forensic Medicine & Toxicology,Part-4 Skull Fractures,Types,Significance of a depressed (signature) fracture?,Increased chance of underlying brain injury.
Forensic Medicine & Toxicology,Part-4 Skull Fractures,Types,Ping-pong / pond fracture is seen in whom?,Children.
Forensic Medicine & Toxicology,Part-4 Skull Fractures,Types,Hinge fracture is also called what?,Motorcyclist fracture.
Forensic Medicine & Toxicology,Part-4 Skull Fractures,Types,Name the skull fracture types shown.,"Linear/fissured, depressed/signature, ping-pong/pond, comminuted, ring, and hinge (motorcyclist)."
Forensic Medicine & Toxicology,Part-4 Skull Fractures,Lucid interval,A lucid interval is characteristic of which haemorrhage?,Extradural haemorrhage (EDH).
Forensic Medicine & Toxicology,Part-4 Skull Fractures,Lucid interval,What is the medicolegal significance of the lucid interval?,"During it the person can give valid evidence, make a valid will, and is criminally liable."
Forensic Medicine & Toxicology,Part-5 Ballistics,General,Who is the father of forensic ballistics?,Calvin Goddard.
Forensic Medicine & Toxicology,Part-5 Ballistics,General,Name the zones/divisions of ballistics.,"Internal, intermediate, external, and terminal."
Forensic Medicine & Toxicology,Part-5 Ballistics,Rifle vs shotgun,What does rifling do in a rifle barrel?,Increases the gyroscopic (spin) stability of the bullet.
Forensic Medicine & Toxicology,Part-5 Ballistics,Rifle vs shotgun,A rifle fires which projectile?,A bullet.
Forensic Medicine & Toxicology,Part-5 Ballistics,Rifle vs shotgun,What does choking do in a shotgun?,Decreases pellet dispersion.
Forensic Medicine & Toxicology,Part-5 Ballistics,Rifle vs shotgun,A shotgun fires which projectile?,Pellets.
Forensic Medicine & Toxicology,Part-5 Ballistics,Bullet,What is caliber (bore diameter)?,The internal diameter of the barrel (distance across the lands).
Forensic Medicine & Toxicology,Part-5 Ballistics,Shotgun,What is the bore diameter of a 12-gauge barrel?,0.729 inch.
Forensic Medicine & Toxicology,Part-5 Ballistics,Shotgun,Define the gauge of a shotgun (12-gauge example).,The number of bore-diameter lead balls that together weigh 1 pound (454 g) — 12 such balls for 12-gauge.
Forensic Medicine & Toxicology,Part-5 Ballistics,Markings,What does the primary marking on a bullet indicate?,Class characteristics — the manufacturer.
Forensic Medicine & Toxicology,Part-5 Ballistics,Markings,What does the secondary marking on a bullet indicate?,The individual gun.
Forensic Medicine & Toxicology,Part-5 Ballistics,GSR tests,What does the dermal nitrate test detect?,Gunshot residue (GSR).
Forensic Medicine & Toxicology,Part-5 Ballistics,GSR tests,Gunshot residue is collected using what?,Paraffin wax.
Forensic Medicine & Toxicology,Part-5 Ballistics,GSR tests,What is the best test for gunshot residue?,SEM-EDXA (scanning electron microscopy with energy-dispersive X-ray analysis).
Forensic Medicine & Toxicology,Part-5 Ballistics,Phenomena,What is the Kennedy phenomenon?,Iatrogenic manipulation of a wound.
Forensic Medicine & Toxicology,Part-5 Ballistics,Phenomena,What is the Rayalaseema phenomenon?,A stab wound altered to look like a bullet wound.
Forensic Medicine & Toxicology,Part-5 Ballistics,Muzzle marks,Flame from the muzzle causes what?,Burning and singeing (burns).
Forensic Medicine & Toxicology,Part-5 Ballistics,Muzzle marks,"Smoke from the muzzle causes what, and can it be wiped off?","Blackening, which can be wiped off."
