subject,deck,topic,front,back
Anatomy,Part-01: Cranial Nerves,Functional columns,"In these notes, which cranial-nerve functional column carries the special senses?","SSA – special somatic afferent (olfaction, vision, hearing)."
Anatomy,Part-01: Cranial Nerves,Functional columns,Which functional column supplies the muscles derived from the pharyngeal arches (branchial motor)?,SVE – special visceral efferent.
Anatomy,Part-01: Cranial Nerves,Functional columns,Which functional column carries taste?,SVA – special visceral afferent (written 'SVA-ad').
Anatomy,Part-01: Cranial Nerves,Functional columns,Which functional column carries general sensation?,GSA – general somatic afferent.
Anatomy,Part-01: Cranial Nerves,Functional columns,Which functional column gives parasympathetic supply to glands?,GVE – general visceral efferent.
Anatomy,Part-01: Cranial Nerves,Functional columns,Which functional column carries visceral (afferent) sensation?,GVA – general visceral afferent.
Anatomy,Part-01: Cranial Nerves,Functional columns,Which functional column supplies the somatic (non-branchial) muscles?,GSE – general somatic efferent.
Anatomy,Part-01: Cranial Nerves,Functional columns,What mnemonic is used for the seven cranial-nerve functional columns?,"""SAVE VA SAVE VASE"" (the seven columns being SSA, SVE, SVA, GSA, GVE, GVA, GSE)."
Anatomy,Part-01: Cranial Nerves,Cranial nerve columns,"Which cranial nerves carry the special senses (SSA), and which sense does each mediate?",CN I – olfaction; CN II – vision; CN VIII – audition/hearing.
Anatomy,Part-01: Cranial Nerves,Cranial nerve columns,Which nucleus/cranial nerve supplies the muscles of each pharyngeal arch (SVE column)?,1st arch – motor nucleus of CN V; 2nd arch – motor nucleus of CN VII; 3rd arch – CN IX (nucleus ambiguus); 4th & 6th arch – CN X (nucleus ambiguus).
Anatomy,Part-01: Cranial Nerves,Cranial nerve columns,"Which cranial nerves carry taste (SVA), and from which region?","CN VII – anterior 2/3 of tongue; CN IX – posterior 1/3 of tongue; CN X – posterior-most tongue, uvula and palate. (CN V carries no taste.)"
Anatomy,Part-01: Cranial Nerves,Cranial nerve columns,"Which cranial nerves provide general sensation (GSA), and to where?",CN V – face; CN VII – minor supply to the ear; CN IX – Jacobson's nerve; CN X – Arnold's nerve.
