subject,deck,topic,front,back
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,Which nerve supplies the anterior wall and roof of the external auditory canal (EAC)?,Auriculotemporal nerve (branch of V3)
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,Which nerves supply the posterior wall and floor of the EAC?,CN VII and CN X
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,The posterior part of the pinna above the concha is supplied by which nerve (not the greater occipital nerve)?,Lesser occipital nerve (C2)
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,Which nerve supplies the lower posterior pinna/lobule area (great auricular nerve)?,"Great auricular nerve (C2, C3)"
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,Which cranial nerve supplies the middle ear via Jacobson's nerve?,CN IX (glossopharyngeal) - Jacobson's nerve supplies the middle ear
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"Which nerve supplies the utricle, superior semicircular canal, and lateral semicircular canal?",Superior vestibular nerve
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,Which nerve supplies the saccule and posterior semicircular canal?,Inferior vestibular nerve
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"In referred otalgia, tonsillitis refers pain via which cranial nerve?",CN IX (glossopharyngeal)
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"In referred otalgia, laryngeal/pharyngeal pathology refers pain via which cranial nerve?",CN X (vagus)
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"In referred otalgia, facial pathology refers pain via which nerve?",V3 (mandibular division of trigeminal nerve)
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,What is the total length of the external auditory canal (EAC)?,24 mm
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,Where is the narrowest part of the EAC located?,5 mm lateral to the tympanic membrane (isthmus)
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"What type of tissue makes up the outer 1/3 of the EAC, and what fissures/communication does it have?","Cartilaginous outer 1/3, containing the fissures of Santorini, which communicate with the parotid gland"
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"What type of tissue makes up the inner 2/3 of the EAC, and what foramen/communication does it have?","Bony inner 2/3, containing the foramen of Hushke (present in children <4 years), which communicates with the skull base"
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,In which direction should ear syringing be directed?,Upward - Outward - Backward
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,Syncope during ear syringing is due to stimulation of which nerve?,"Arnold's nerve (auricular branch of vagus, CN X)"
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,What is the Hitzelberger sign and what does it indicate?,Anaesthesia of the posterior wall/floor of the EAC due to CN VII involvement; classically seen in acoustic (vestibular) neuroma
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,The incisura terminalis is associated with which surgical incision?,Lempert endaural incision
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,By what age does the mastoid tip fully develop?,By ≥2 years of age
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,The pinna develops from fusion of which embryological structures?,"Hillocks of His (from the 1st and 2nd branchial arches), which fuse together"
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,Where is a pre-auricular sinus classically located?,At the root of the helix
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,In which two parts of the pinna is cartilage absent?,Incisura (terminalis) and the lobule
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"What is Darwin's tubercle, developmentally speaking?",An atavistic feature of the pinna
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"What condition is also known as cauliflower ear or boxer's ear, and how is it treated?",Perichondrial hematoma of the pinna; treated by Incision & Drainage (I&D)
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,What are the key features of malignant otitis externa (MOE)?,History of diabetes; associated with 7th cranial nerve (facial) palsy; caused by Pseudomonas
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,What is the drug of choice (DOC) for malignant otitis externa?,Ceftazidime / Cefoperazone
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"Which imaging investigation is used to diagnose malignant otitis externa, and which is used to monitor treatment response/follow-up?",Diagnosis: Tc99 (Technetium-99) bone scan; Follow-up response: Gallium scan
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"What is keratosis obliterans characterized by, on the EAC epithelium?",Desquamative epithelium (build-up of keratin debris obliterating the canal)
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,What condition is classically called 'surfer's ear'?,Exostosis of the EAC
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,"What condition is classically called 'swimmer's ear', and what are its features?","Generalised/diffuse otitis externa; most common cause is Pseudomonas; presents with severe pain and tenderness (pain++, tender++)"
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,External Ear,What is the 'wet newspaper sign' and which organism causes it?,"A sign of otomycosis, caused by Aspergillus niger"
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,Tympanic Membrane,What is the angle and vibratory area of the tympanic membrane (TM)?,55 degrees; 55 mm² vibratory area
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,Tympanic Membrane,What are the three histological layers of the tympanic membrane?,"Epithelial layer, Fibrous layer, Mucosal layer"
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,Tympanic Membrane,The pars flaccida of the TM is also known by what name?,Shrapnell's membrane
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,Tympanic Membrane,"What is the areal ratio of the TM to the stapes footplate, and what is its significance?",17 (TM area : stapes footplate area) - contributes to sound amplification
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,Tympanic Membrane,"What is the lever ratio of the ossicular chain, and what is its function?",1.3 - provides amplifying force
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,Tympanic Membrane,What is the total transformer ratio of the middle ear (total amplification)?,22
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,Tympanic Membrane,"What is the phase difference between the oval window and round window, and why does it matter?",+4 dB - it prevents sound cancellation between the two windows and aids in the transformer mechanism
ENT (Otorhinolaryngology),Part-1: Ear Anatomy,Tympanic Membrane,"What structures are contained in the epitympanum, and what is its width?","Pars flaccida, Prussak's space, and the scutum; width is 6 mm"
