subject,deck,topic,front,back
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,What is renal clearance?,The volume of plasma/blood that is completely cleared of a substance by the kidneys per unit time.
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,What is the formula for clearance?,Clearance = (Urine concentration ÷ Plasma concentration) × Urine flow rate (ml/min); i.e. (U×V)/P
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,Which substance's clearance is used as a proxy for GFR and why?,"Inulin — it is freely filtered, neither reabsorbed nor secreted, so its clearance equals GFR (passes unchanged)."
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,Which substance's clearance is used as a proxy for RPF and why?,"PAH (para-aminohippuric acid) — it is filtered AND secreted, so almost all of it is cleared in a single pass, making its clearance equal to RPF."
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,How is Renal Blood Flow (RBF) calculated from RPF?,RBF = RPF / (1 − Hematocrit)
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,What is the filtration fraction and its normal value?,Filtration fraction = GFR/RPF = Inulin clearance/PAH clearance ≈ 20%
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,"Rank PAH, creatinine, inulin, urea, Na, and glucose by clearance (highest to lowest).",PAH > Creatinine > Inulin > Urea > Na > Glucose
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,Why is the clearance of PAH and creatinine greater than GFR (i.e. greater than inulin clearance)?,Because they undergo additional tubular secretion on top of filtration.
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,"Why is the clearance of glucose, sodium, and bicarbonate less than GFR?",Because they are reabsorbed by the renal tubules after filtration.
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,"On a graph of % filtered load remaining vs nephron length, how does PAH behave?","It rises above 100% and plateaus near/above 100%, because it is added to the tubular fluid by secretion."
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,"On a graph of % filtered load remaining vs nephron length, how does inulin behave?",It stays flat at 100% throughout the nephron since it is freely filtered but neither reabsorbed nor secreted.
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,"On a graph of % filtered load remaining vs nephron length, how do HCO3-/Na and glucose behave?","Both decline toward 0% due to reabsorption; glucose reaches zero earliest (fully reabsorbed), followed later by HCO3-/Na."
Renal System,Deck 1 - Renal Physiology Basics,Clearance & GFR,"On a Tubular fluid/Plasma (TF/P) ratio graph along the PCT, which solutes rise highest and which fall to zero?","PAH and creatinine rise highest (secreted); urea/Cl-/K+ rise mildly; osmolarity/Na+ stay near 1; HCO3-, amino acids, and glucose fall toward 0 (reabsorbed)."
Renal System,Deck 1 - Renal Physiology Basics,Counter-Current Mechanism,What structure is the counter-current multiplier and what is its role?,The Loop of Henle — it establishes the corticomedullary counter-current osmotic gradient.
Renal System,Deck 1 - Renal Physiology Basics,Counter-Current Mechanism,What structure is the counter-current exchanger and what is its role?,The Vasa recta — it maintains the counter-current gradient without dissipating it.
Renal System,Deck 1 - Renal Physiology Basics,JG Apparatus,What are the three components of the juxtaglomerular apparatus?,"Macula densa, JG (granular) cells, and Lacis (extraglomerular mesangial) cells."
Renal System,Deck 1 - Renal Physiology Basics,JG Apparatus,"Describe the macula densa: location, receptor type, and feedback loop.",Located between the DCT and thick ascending limb of the loop of Henle; acts as a chemoreceptor; mediates tubulo-glomerular feedback.
Renal System,Deck 1 - Renal Physiology Basics,JG Apparatus,What happens when the macula densa senses increased Na+ delivery?,"It releases adenosine, which causes afferent arteriole vasoconstriction and decreases GFR."
Renal System,Deck 1 - Renal Physiology Basics,JG Apparatus,"Describe JG cells: location, receptor type, and function.",Modified smooth muscle cells of the afferent arteriole; act as baroreceptors; mediate glomerulo-tubular feedback; activate RAAS when GFR/BP is low.
Renal System,Deck 1 - Renal Physiology Basics,JG Apparatus,What stimulates JG cells to release renin?,"A drop in blood pressure/GFR sensed via the baroreceptor mechanism, and sympathetic β1 stimulation."
Renal System,Deck 1 - Renal Physiology Basics,JG Apparatus,What are Lacis cells and what is their function?,Mesangial cells of the JG apparatus that have an anti-inflammatory function.
Renal System,Deck 1 - Renal Physiology Basics,RAAS Pathway,Outline the RAAS cascade from angiotensinogen to angiotensin II.,Angiotensinogen (from liver) → via Renin (from JG cells) → Angiotensin I → via ACE (from lung endothelium) → Angiotensin II.
Renal System,Deck 1 - Renal Physiology Basics,RAAS Pathway,What are the vascular actions of Angiotensin II?,"Potent vasoconstrictor, with preferential constriction of the efferent arteriole."
Renal System,Deck 1 - Renal Physiology Basics,RAAS Pathway,What are the renal (PCT) actions of Angiotensin II?,"Increases Na+, H2O, and HCO3- reabsorption, producing a 'contraction alkalosis.'"
Renal System,Deck 1 - Renal Physiology Basics,RAAS Pathway,What are the hormonal actions of Angiotensin II?,"Stimulates aldosterone release, stimulates ADH release, and stimulates thirst."
Renal System,Deck 1 - Renal Physiology Basics,RAAS Pathway,Where is aldosterone produced and what does it do at the collecting duct?,Produced in the zona glomerulosa; acts on principal cells to increase Na+ and water reabsorption and increase K+ and H+ excretion.
Renal System,Deck 1 - Renal Physiology Basics,RAAS Pathway,"Besides converting Angiotensin I to II, what else does ACE do, and why is this clinically important?",ACE also breaks down bradykinin; this explains why ACE inhibitors can cause cough and angioedema due to bradykinin accumulation.
Renal System,Deck 1 - Renal Physiology Basics,ADH/Vasopressin,List the 3 ADH (vasopressin) receptors with their locations and actions.,"V1 — vascular smooth muscle, causes vasoconstriction. V2 — collecting duct principal cells, mediates water reabsorption (also causes release of vWF and Factor VIII). V3 — anterior pituitary, stimulates ACTH release."
Renal System,Deck 1 - Renal Physiology Basics,Autoregulation,Over what MAP range are renal blood flow and GFR autoregulated?,MAP of 80–180 mmHg.
Renal System,Deck 1 - Renal Physiology Basics,Autoregulation,What are the two mechanisms of renal autoregulation?,"(1) Myogenic mechanism, (2) Tubuloglomerular feedback via the macula densa."
