subject,deck,topic,front,back
Pediatrics,Part-1,Birth Weight Classification,"How is Low Birth Weight (LBW) defined by weight?","Birth weight < 2.5 kg"
Pediatrics,Part-1,Birth Weight Classification,"How is Very Low Birth Weight (VLBW) defined?","Birth weight < 1.5 kg"
Pediatrics,Part-1,Birth Weight Classification,"How is Extremely Low Birth Weight (ELBW) defined?","Birth weight < 1 kg"
Pediatrics,Part-1,Weight for Gestational Age,"How is Small for Gestational Age (SGA) defined?","Birth weight < 10th centile for gestational age"
Pediatrics,Part-1,Weight for Gestational Age,"How is Appropriate for Gestational Age (AGA) defined, and what syndrome do the notes link to it?","10th-90th centile; notes link Sotos syndrome"
Pediatrics,Part-1,Weight for Gestational Age,"How is Large for Gestational Age (LGA) defined, and what associations do the notes give?","> 90th centile; associations noted: Beckwith-Wiedemann syndrome and IODM (infant of a diabetic mother)"
Pediatrics,Part-1,IUGR,"How is IUGR defined in these notes?","< 10th centile PLUS abnormal Doppler"
Pediatrics,Part-1,IUGR,"What is the etiology of symmetrical vs asymmetrical IUGR?","Symmetrical = congenital infection/anomaly; Asymmetrical = uteroplacental insufficiency"
Pediatrics,Part-1,IUGR,"Head circumference (HC) in symmetrical vs asymmetrical IUGR?","Symmetrical: HC decreased; Asymmetrical: HC normal (""brain sparing"")"
Pediatrics,Part-1,IUGR,"Abdominal circumference (AC) in symmetrical vs asymmetrical IUGR?","Decreased in both"
Pediatrics,Part-1,IUGR,"Ponderal index (g/cm3) in symmetrical vs asymmetrical IUGR?","Symmetrical: > 2 (normal); Asymmetrical: < 2"
Pediatrics,Part-1,IUGR,"Prognosis of symmetrical vs asymmetrical IUGR?","Symmetrical: poor; Asymmetrical: good"
Pediatrics,Part-1,IUGR,"What does 'brain sparing' mean in asymmetrical IUGR?","Head circumference is preserved (normal HC) despite reduced abdominal circumference"
Pediatrics,Part-1,Physiological Weight Loss,"Physiological weight loss in a TERM neonate: maximum % loss, day of nadir, and recovery?","Up to 10% loss, by day 10, then regains birth weight"
Pediatrics,Part-1,Physiological Weight Loss,"Physiological weight loss in a PRETERM neonate: maximum % loss, day of nadir, and recovery?","Up to 15% loss, by day 15, then regains birth weight"
Pediatrics,Part-1,Causes of Mortality,"Order the most common causes of NEONATAL mortality (mnemonic PAS-C).","Prematurity > Asphyxia > Sepsis > Congenital anomalies"
Pediatrics,Part-1,Causes of Mortality,"Order the most common causes of mortality in under-5 (U5) children.","Pneumonia > Diarrhea > Injury > Malaria"
Pediatrics,Part-1,Ballard Score,"What gestational age range does the Expanded New Ballard Score cover?","20-44 weeks"
Pediatrics,Part-1,Ballard Score,"What are the two components assessed in the Ballard score?","Neuromuscular maturity and physical maturity"
Pediatrics,Part-1,Ballard Score,"List the 6 neuromuscular maturity parameters in the Ballard score.","Posture, square window (wrist), arm recoil, popliteal angle, scarf sign, heel to ear"
Pediatrics,Part-1,Ballard Score,"List the physical maturity parameters in the Ballard score.","Skin, lanugo, plantar surface, breast, eye/ear, genitals (male), genitals (female)"
Pediatrics,Part-1,Ballard Score,"In the Ballard maturity rating, what gestational age does a score of -10 give, and how does the scale increment?","-10 = 20 weeks; every additional 5 points adds 2 weeks"
Pediatrics,Part-1,Ballard Score,"Ballard maturity rating: what gestational age corresponds to a score of 0?","24 weeks (-10=20, -5=22, 0=24)"
Pediatrics,Part-1,Ballard Score,"Ballard maturity rating: what score corresponds to 40 weeks (term)?","Score of 40 = 40 weeks"
Pediatrics,Part-1,Ballard Score,"Ballard maturity rating: maximum score and its gestational age?","Score 50 = 44 weeks"
Pediatrics,Part-2,Benign Newborn Lesions,"What is the management for all benign newborn skin lesions?","Reassure the parents (no treatment needed)"
Pediatrics,Part-2,Benign Newborn Lesions,"Erythema toxicum neonatorum: which inflammatory cell predominates?","Eosinophils"
Pediatrics,Part-2,Benign Newborn Lesions,"Pustular dermatosis (pustular melanosis): which inflammatory cell predominates?","Neutrophils"
Pediatrics,Part-2,Benign Newborn Lesions,"Milia: what is the underlying mechanism per the notes?","Obstruction of sweat (glands)"
Pediatrics,Part-2,Benign Newborn Lesions,"Harlequin colour change: what is the underlying mechanism?","Vascular"
Pediatrics,Part-2,Benign Newborn Lesions,"Cutis marmorata: what is the underlying mechanism?","Vascular"
Pediatrics,Part-2,Benign Newborn Lesions,"Mongolian spots: what is their origin/layer?","Dermal (dermal melanocytes)"
Pediatrics,Part-2,Benign Newborn Lesions,"Strawberry hemangioma, stork bite, and capillary hemangioma: what is their natural course?","They regress"
Pediatrics,Part-2,Benign Newborn Lesions,"Neonatal acne: what is the cause?","Maternal transfer of androgen"
Pediatrics,Part-2,Benign Newborn Lesions,"Cradle cap is also called what?","Seborrheic dermatitis"
Pediatrics,Part-2,Benign Newborn Lesions,"Cradle cap / seborrheic dermatitis: what serious condition must be ruled out, and how does it present?","Rule out LCH (Langerhans cell histiocytosis) - presents with polyuria, polydipsia, and bony lesions"
Pediatrics,Part-2,Benign Newborn Lesions,"What is the term for neonatal breast enlargement?","Breast mastitis neonatorum"
Pediatrics,Part-2,Benign Newborn Lesions,"Neonatal vaginal bleeding: what is the cause?","Maternal estrogen (transfer)"
Pediatrics,Part-3,Temperature Ranges,"Normal axillary temperature range for a neonate?","36.5-37.5 C"
Pediatrics,Part-3,Temperature Ranges,"Temperature range defining cold stress in a neonate?","36.0 to <36.5 C"
Pediatrics,Part-3,Temperature Ranges,"Temperature range defining moderate hypothermia?","32.0 to <36.0 C"
Pediatrics,Part-3,Temperature Ranges,"Temperature defining severe hypothermia?","< 32.0 C"
Pediatrics,Part-3,Temperature Ranges,"For how long should axillary temperature be measured in a neonate?","3 minutes"
Pediatrics,Part-3,Brown Fat & Thermogenesis,"What is the main mechanism of heat production in neonates (who cannot shiver)?","Non-shivering thermogenesis"
Pediatrics,Part-3,Brown Fat & Thermogenesis,"What mediates non-shivering thermogenesis in brown fat?","Brown fat uncoupler (uncoupling protein / thermogenin)"
Pediatrics,Part-3,Brown Fat & Thermogenesis,"Where is brown fat chiefly located, as seen on PET-CT?","Around the axilla and shoulder"
Pediatrics,Part-3,Kangaroo Mother Care,"What are the 4 components of Kangaroo Mother Care (KMC)?","Kangaroo position (skin-to-skin), Kangaroo nutrition, Kangaroo support, Kangaroo discharge"
Pediatrics,Part-3,Kangaroo Mother Care,"What birth weight is the indication for KMC?","< 1800 g"
Pediatrics,Part-3,Kangaroo Mother Care,"In KMC, what does 'Kangaroo nutrition' specifically mean?","Exclusive breastfeeding"
Pediatrics,Part-3,Kangaroo Mother Care,"In KMC, what does 'Kangaroo discharge' emphasise?","Early discharge"
Pediatrics,Part-3,Heat Loss Mechanisms,"An incubator prevents neonatal heat loss mainly by countering which mechanism?","Convection"
Pediatrics,Part-3,Heat Loss Mechanisms,"A radiant warmer prevents neonatal heat loss mainly by countering which mechanism?","Radiation"
Pediatrics,Part-4,Jaundice Progression,"Kramer's rule describes neonatal jaundice progressing in what direction?","Cephalo-caudal (head to toe)"
Pediatrics,Part-4,Pathological Jaundice,"List the criteria that define pathological neonatal jaundice.","Appears <24 hrs; persists >14 days; bilirubin rise >5 mg/dl/day; serum bilirubin >15 mg/dl"
Pediatrics,Part-4,Pathological Jaundice,"Jaundice appearing <24 hrs after birth - most common causes in order?","ABO incompatibility > hereditary spherocytosis (HS)/G6PD deficiency"
Pediatrics,Part-4,Pathological Jaundice,"Causes of prolonged neonatal jaundice (>14 days)?","Breast milk jaundice, breastfeeding jaundice, cephalhematoma, hypothyroidism"
Pediatrics,Part-4,Pathological Jaundice,"At what serum bilirubin level does jaundice typically reach the palms and soles?","> 15 mg/dl"
Pediatrics,Part-4,Conjugated Jaundice,"How is conjugated (direct) hyperbilirubinemia defined in a neonate?","Direct bilirubin >2 mg/dl OR clay-coloured stool"
Pediatrics,Part-4,Phototherapy Mechanism,"What does phototherapy do to bilirubin to allow its excretion?","Converts it to water-soluble forms"
Pediatrics,Part-4,Phototherapy Mechanism,"Which phototherapy reaction is most important, and what is the product?","Structural isomerization - converts bilirubin to lumirubin"
Pediatrics,Part-4,Phototherapy Mechanism,"What change occurs in photo-isomerization during phototherapy?","Z to E isomer conversion"
Pediatrics,Part-4,Phototherapy Mechanism,"Which phototherapy mechanism is the least important?","Photo-oxidation"
Pediatrics,Part-4,Phototherapy Parameters,"Phototherapy: recommended distance from the baby?","30-45 cm"
Pediatrics,Part-4,Phototherapy Parameters,"Phototherapy: optimal wavelength?","450 nm"
Pediatrics,Part-4,Phototherapy Parameters,"Phototherapy: preferred type of lamp?","LED"
Pediatrics,Part-4,Phototherapy Parameters,"Phototherapy: target irradiance measured by flux meter?","30 uW/cm2/nm"
Pediatrics,Part-4,Unconjugated - Crigler-Najjar,"Crigler-Najjar syndrome: which enzyme is affected and to what degree?","UDP-GT (UDP-glucuronosyltransferase) - severely deficient"
Pediatrics,Part-4,Unconjugated - Crigler-Najjar,"Crigler-Najjar type 1: enzyme status, complication, and response to phenobarbital?","UDP-GT absent; causes kernicterus; NO response to phenobarbital"
Pediatrics,Part-4,Unconjugated - Crigler-Najjar,"Crigler-Najjar type 2: response to phenobarbital?","Responds to phenobarbital (UDP-GT partially present)"
Pediatrics,Part-4,Unconjugated - Gilbert,"Gilbert syndrome: enzyme defect and typical triggers?","UDP-GT mildly deficient; triggered by stress/fever"
Pediatrics,Part-4,Breast Milk vs Breastfeeding Jaundice,"Breast milk jaundice: timing, mechanism, and management?","Prolonged jaundice; pregnanediol lowers UDP-GT activity; Rx = phototherapy and continue breastfeeding"
Pediatrics,Part-4,Breast Milk vs Breastfeeding Jaundice,"Breastfeeding jaundice: cause and management?","Inadequate feeding; Rx = correct feeding, supplement (breast milk, formula, milk bank)"
Pediatrics,Part-4,Conjugated - Dubin-Johnson & Rotor,"Dubin-Johnson syndrome: defective transporter and characteristic liver finding?","MRP-2 defect; black liver (from epinephrine metabolites)"
Pediatrics,Part-4,Conjugated - Dubin-Johnson & Rotor,"Rotor syndrome: liver appearance compared with Dubin-Johnson?","No black liver"
Pediatrics,Part-4,Biliary Atresia,"Extrahepatic biliary atresia (EHBA): characteristic biopsy finding?","Periductal fibrosis and proliferation"
Pediatrics,Part-4,Biliary Atresia,"EHBA: initial investigation and its key signs?","USG - shows triangular cord sign and ghost gallbladder (GB) triad"
Pediatrics,Part-4,Biliary Atresia,"EHBA: which investigation has the highest NPV (used to rule out)?","HIDA scan"
Pediatrics,Part-4,Biliary Atresia,"EHBA: gold-standard investigation (IOC)?","Intra-operative cholangiography"
Pediatrics,Part-4,Biliary Atresia,"EHBA: definitive surgery, ideal timing, and consequence if delayed?","Kasai procedure (hepato-portoenterostomy) before 60 days; if delayed -> cirrhosis -> liver transplant"
Pediatrics,Part-4,Neonatal Hepatitis,"Neonatal hepatitis: biopsy finding that distinguishes it from biliary atresia?","Absent periductal fibrosis"
Pediatrics,Part-4,Bilirubin Measurement,"What does TCB stand for, and what does it estimate?","Transcutaneous bilirubin; estimates total serum bilirubin (TSB)"
Pediatrics,Part-4,Treatment Thresholds,"Serum bilirubin thresholds (mg/dl) for phototherapy vs exchange transfusion at 24-48 hrs?","Phototherapy >15; exchange transfusion >20"
Pediatrics,Part-4,Treatment Thresholds,"Serum bilirubin thresholds (mg/dl) for phototherapy vs exchange transfusion at 48-72 hrs?","Phototherapy >18; exchange transfusion >25"
Pediatrics,Part-4,Treatment Thresholds,"Serum bilirubin thresholds (mg/dl) for phototherapy vs exchange transfusion at >72 hrs?","Phototherapy >20; exchange transfusion >25"
Pediatrics,Part-5,Neonatal Sepsis,"Most common cause (organism) of neonatal sepsis overall?","Acinetobacter > Klebsiella"
Pediatrics,Part-5,Neonatal Sepsis,"Most common cause of early-onset neonatal sepsis?","Group B Streptococcus (Streptococcus agalactiae)"
Pediatrics,Part-5,Neonatal Sepsis,"Most effective method for preventing neonatal sepsis?","Hand washing (for 3 minutes)"
Pediatrics,Part-5,Neonatal Sepsis,"Earliest clinical feature of neonatal sepsis?","Inadequate feeding"
Pediatrics,Part-5,Neonatal Sepsis,"Initial investigation for neonatal sepsis?","Sepsis screen"
Pediatrics,Part-5,Neonatal Sepsis,"Investigation of choice / gold standard for neonatal sepsis?","Blood culture"
Pediatrics,Part-5,Neonatal Sepsis,"Risk factors for neonatal sepsis?","Prematurity, ROM >18 hrs, PPV (positive pressure ventilation)"
Pediatrics,Part-5,Sepsis Screen,"How many positive parameters make a neonatal sepsis screen positive?",">= 2 of 5"
Pediatrics,Part-5,Sepsis Screen,"List the 5 components of the neonatal sepsis screen with their cut-offs.","Leukopenia (TLC <5000), Neutropenia (ANC <1800), I/T ratio >0.2, Micro-ESR >15 mm in 1st hour, CRP positive"
Pediatrics,Part-5,Sepsis Screen,"Sepsis screen: cut-off for leukopenia?","TLC < 5000"
Pediatrics,Part-5,Sepsis Screen,"Sepsis screen: cut-off for neutropenia (ANC)?","ANC < 1800"
Pediatrics,Part-5,Sepsis Screen,"Sepsis screen: cut-off for the immature-to-total neutrophil (I/T) ratio?","> 0.2"
Pediatrics,Part-5,Sepsis Screen,"Sepsis screen: cut-off for micro-ESR?","> 15 mm in the 1st hour"
Pediatrics,Part-6,Causes by Clinical Setting,"Respiratory distress in a PRETERM baby (or IODM): most likely diagnosis?","Hyaline membrane disease (HMD / RDS)"
