subject,deck,topic,front,back
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,What are GPCRs and what defines their structure?,G protein-coupled receptors (metabotropic receptors) are cell surface receptors with 7 transmembrane domains.
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,"Which G-protein subunit is linked to IP3/DAG second messengers, and what is its effect on intracellular calcium?","Gq-alpha subunit; increases intracellular Ca2+, causing smooth muscle contraction."
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,List the receptors that signal via the Gq pathway.,"H1, alpha-1, V1 (vasopressin-1), M1 & M3 (muscarinic), Gastrin, GnRH, Oxytocin, TRH, CCK, and Angiotensin II."
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,What mnemonic covers key Gq receptor ligands?,"""GOT"" - Gastrin, Oxytocin, TRH (GnRH, CCK, and Angiotensin II are also Gq-linked)."
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,What memory hooks link some Gq ligands to their clinical context?,"Gastrin-wine (stimulates acid), GnRH-gonads, Oxytocin-childbirth/babies, TRH-tachycardia."
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,"Which enzyme is activated downstream of Gq, and what does it produce?","Phospholipase C, which generates IP3 and DAG; DAG then activates Protein Kinase C."
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,"Which G-protein subunit stimulates cAMP production, and which receptors use it?","Gs-alpha subunit (stimulatory); used by FSH, LH, ACTH, TSH, CRH, GHRH, hCG, ADH (V2), MSH, PTH, Calcitonin, Glucagon, H2, and all beta-adrenergic receptors."
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,"Which G-protein subunit inhibits cAMP production, and what is the mnemonic for its receptors?","Gi-alpha subunit (inhibitory); mnemonic ""MAD2"" = M2 (muscarinic), alpha-2 (adrenergic), D2 (dopamine); somatostatin also signals via Gi."
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,"Which receptor type signals via guanylyl cyclase/cGMP, and what is its mnemonic and members?","Receptor guanylyl cyclase increases cGMP causing smooth muscle relaxation; mnemonic ""BAN"" = BNP, ANP, NO."
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,"What is the precursor of nitric oxide (NO), and what is another name for NO's vascular action?",Arginine is the precursor of NO; NO is also called EDRF (Endothelium-Derived Relaxation Factor).
Endocrinology,Part-1: Hormone Receptor Mechanisms,GPCR,What is a clinical use of inhaled NO?,Treatment of PAH (pulmonary arterial hypertension) - given as inhaled nitric oxide (iNO).
Endocrinology,Part-1: Hormone Receptor Mechanisms,Intracellular Receptors,How do intracellular (steroid-type) receptors differ from membrane receptors in solubility and speed?,Intracellular receptors bind lipid-soluble hormones and act slowly (via gene transcription); membrane (enzymatic/ionotropic) receptors bind water-soluble hormones and act faster.
Endocrinology,Part-1: Hormone Receptor Mechanisms,Intracellular Receptors,Describe the general mechanism of steroid hormone action.,"The lipid-soluble steroid hormone diffuses into the cell, binds its receptor to form a hormone-receptor complex, which enters the nucleus/binds chromatin and activates mRNA transcription, producing a cellular response."
Endocrinology,Part-1: Hormone Receptor Mechanisms,Intracellular Receptors,Which hormones act via purely intracytoplasmic receptors?,Corticoids - both glucocorticoids and mineralocorticoids (steroids).
Endocrinology,Part-1: Hormone Receptor Mechanisms,Intracellular Receptors,Which hormones act via intranuclear receptors (mnemonic EAT)?,"Estrogen, Vitamin A, and T3/T4 (thyroid hormone)."
Endocrinology,Part-1: Hormone Receptor Mechanisms,Intracellular Receptors,Which hormone(s) can act through BOTH cytoplasmic and nuclear receptors?,Progesterone and Vitamin D.
Endocrinology,Part-1: Hormone Receptor Mechanisms,Enzymatic Receptors,What are enzymatic receptors and how fast do they act compared to steroid receptors?,Water-soluble hormone receptors with intrinsic or associated enzyme activity; they act faster than intracellular steroid receptors.
Endocrinology,Part-1: Hormone Receptor Mechanisms,Enzymatic Receptors,"Which ligands act via the tyrosine kinase/MAP kinase pathway (mnemonic PIFE, as in 'Insulin PIFE')?","PDGF, IGF, FGF (Fibroblast growth factor), and EGF (Epidermal growth factor) - along with Insulin itself."
Endocrinology,Part-1: Hormone Receptor Mechanisms,Enzymatic Receptors,Which ligands act via the JAK-STAT (cytokine receptor) pathway (mnemonic PIGGLET)?,"Prolactin, GH, IL-2, GM-CSF, Leptin, EPO, and TPO."
Endocrinology,Part-1: Hormone Receptor Mechanisms,Ionotropic Receptors,What are ionotropic receptors and how fast do they act relative to other receptor types?,Ligand-gated ion channels; they are the fastest-acting receptors of all.
Endocrinology,Part-1: Hormone Receptor Mechanisms,Ionotropic Receptors,Name the ionotropic glutamate receptors and the ions they conduct.,NMDA receptor (Ca2+ channel) and AMPA receptor (Na+ channel).
Endocrinology,Part-1: Hormone Receptor Mechanisms,Ionotropic Receptors,"Which GABA receptor subtypes are ionotropic, and which is a GPCR?",GABA-A and GABA-C are ionotropic; GABA-B is a GPCR.
Endocrinology,Part-1: Hormone Receptor Mechanisms,Ionotropic Receptors,"Which acetylcholine receptor subtype is ionotropic, and which is a GPCR?",Nicotinic receptor is ionotropic; Muscarinic receptor is a GPCR.
Endocrinology,Part-1: Hormone Receptor Mechanisms,Ionotropic Receptors,"Which serotonin receptor is ionotropic, and what about other monoamine receptors?","5-HT3 is ionotropic; all other monoamine receptors (e.g., other serotonin, dopamine, adrenergic) are GPCRs."
