subject,deck,topic,front,back
Neurology,Part-1,Sensory Receptors,Which cutaneous receptor is the most numerous and found only in non-hairy (glabrous) skin?,Meissner corpuscle
Neurology,Part-1,Sensory Receptors,What functions does the Meissner corpuscle serve?,"Detects fine touch, dynamic two-point discrimination, and low-frequency vibration"
Neurology,Part-1,Sensory Receptors,What type of adaptation does the Meissner corpuscle show?,Fast adaptation
Neurology,Part-1,Sensory Receptors,Which receptor is the largest and most sensitive cutaneous receptor?,Pacinian corpuscle
Neurology,Part-1,Sensory Receptors,What does the Pacinian corpuscle detect?,High-frequency vibration and deep pressure
Neurology,Part-1,Sensory Receptors,What type of adaptation does the Pacinian corpuscle show?,Fast adaptation
Neurology,Part-1,Sensory Receptors,"What does the hair follicle receptor detect, and what is its adaptation type?",Detects hair movement; shows fast adaptation
Neurology,Part-1,Sensory Receptors,Which slow-adapting receptor is located at epidermal edges and is important for Braille reading?,Merkel disc
Neurology,Part-1,Sensory Receptors,What discrimination function is attributed to the Merkel disc?,Static two-point discrimination
Neurology,Part-1,Sensory Receptors,"Which slow-adapting receptor detects skin stretch and sustained pressure, and is maximal in joint capsules?",Ruffini endings
Neurology,Part-1,Sensory Receptors,"Which nerve endings mediate itching and slow pain, and which molecule mediates this?","Type C nerve endings, mediated by Substance P"
Neurology,Part-1,Sensory Receptors,Which neurotransmitter mediates fast pain (as opposed to the slow pain carried by Type C fibers)?,Glutamate
Neurology,Part-1,Sensory Receptors,What mnemonic helps recall which receptors show fast adaptation?,"""Miss Pacman is Fast"" - referring to Meissner corpuscle, Pacinian corpuscle, and hair follicle receptors"
Neurology,Part-1,Sensory Receptors,State the Weber-Fechner law of perception.,"As stimulus intensity increases, perception increases"
Neurology,Part-1,Sensory Receptors,State the frequency coding law of neural signaling.,"As stimulus intensity increases, the frequency of action potentials increases"
Neurology,Part-1,Nerve Fiber Classification,"What are the functions, conduction velocity, and diameter of Aalpha nerve fibers?",Proprioception and somatic motor function; conduction velocity 70-120 m/sec; diameter 12-20 microns
Neurology,Part-1,Nerve Fiber Classification,"What are the functions, conduction velocity, and diameter of Abeta nerve fibers?",Touch and pressure; conduction velocity 30-70 m/sec; diameter 8 microns
Neurology,Part-1,Nerve Fiber Classification,"What are the functions, conduction velocity, and diameter of Agamma nerve fibers?",Efferent fibers to muscle spindles; conduction velocity 15-30 m/sec; diameter 5 microns
Neurology,Part-1,Nerve Fiber Classification,"What are the functions, conduction velocity, and diameter of Adelta nerve fibers?",Fast pain (via glutamate) and cold temperature sensation; conduction velocity 12-30 m/sec; diameter 2-5 microns
Neurology,Part-1,Nerve Fiber Classification,"What are the functions, conduction velocity, and diameter of Type B nerve fibers?",Preganglionic autonomic fibers; conduction velocity 3-12 m/sec; diameter 3 microns
Neurology,Part-1,Nerve Fiber Classification,"What are the functions, conduction velocity, and diameter of Type C nerve fibers?","Slow pain, warm temperature sensation, and postganglionic sympathetic fibers; conduction velocity 0.5-2 m/sec; diameter 1 micron"
Neurology,Part-1,Nerve Fiber Classification,"Which fiber type is unmyelinated, and what is its alternate name in the Lloyd and Hunt classification?",Type C fibers; also known as Type 4 fibers
Neurology,Part-1,Nerve Fiber Classification,What sensations do Adelta fibers carry and via which neurotransmitter?,"Cold temperature and fast/sharp pain, mediated by glutamate"
Neurology,Part-1,Nerve Fiber Classification,What sensations do C fibers carry and via which neurotransmitter?,"Warm/burning/freezing pain and slow pain, mediated by Substance P"
Neurology,Part-1,Nerve Fiber Classification,"What is the order of nerve fiber sensitivity to local anesthetics, and what mnemonic captures it?","A (Agamma > Aalpha > Adelta) > B > C; mnemonic ""GoD!"""
